Which 3 characters had the worst arc?
"Gamzee Makara, Feferi Peixes, Nepeta Leijon"
""
"Eridan Ampora, Feferi Peixes, Calliope"
"Gamzee Makara, Bro Strider, Eridan Ampora"
"Vriska Serket, Gamzee Makara, Jane Crocker"
""
"Jake English, Nepeta Leijon, ARquius"
"Equius Zahhak, Nepeta Leijon, Cronus Ampora"
""
"Jade Harley, Nepeta Leijon, Jake English"
"Vriska Serket, Jane Crocker, Dirk Strider"
"Gamzee Makara, Aranea Serket, Jane Crocker"
"Rose Lalonde, Dirk Strider, Gamzee Makara"
""
"Vriska Serket, Tavros Nitram, Jake English"
""
"Jake English, Jane Crocker, Dirk Strider"
"Dave Strider, WV (sigh... ""The Mayor""), Jane Crocker"
"WV (sigh... ""The Mayor""), Gamzee Makara, Karkat Vantas"
"Horuss Zahhak, Rufioh Nitram, Cronus Ampora"
""
"Nepeta Leijon, Feferi Peixes, Tavros Nitram"
"Feferi Peixes, Dirk Strider, Terezi Pyrope"
"Eridan Ampora, Vriska Serket, Sollux Captor"
""
"Meulin Leijon, Cronus Ampora, Porrim Maryam"
""
"Tavros Nitram, Equius Zahhak, Jane Crocker"
"Jane Crocker, Jake English, John Egbert"
"Feferi Peixes, Eridan Ampora, Meulin Leijon"
"Feferi Peixes, Mituna Captor, Kurloz Makara"
"Gamzee Makara, Vriska Serket, Tavros Nitram"
"Eridan Ampora, Equius Zahhak, Nepeta Leijon"
"Jane Crocker, Rufioh Nitram, Aranea Serket"
"Lord English, Jake English, Dad Egbert"
"Equius Zahhak, Nepeta Leijon, Aradia Megido"
"Eridan Ampora, WV (sigh... ""The Mayor""), Jake English"
"Davepeta, Jasprose, ARquius"
""
"Jane Crocker, Jake English, Dad Egbert"
"Sollux Captor, Meenah Peixes, Damara Megido"
""
"Gamzee Makara, Davepeta, Lil Hal"
""
"Eridan Ampora, Jane Crocker, Jasprose"
"Kankri Vantas, Equius Zahhak, Nannasprite"
"Aradia Megido, Eridan Ampora, Nepeta Leijon"
"SS, Jade Harley, Jane Crocker"
"Tavros Nitram, Roxy Lalonde, Jake English"
"The Condesce, Mom Lalonde, Dad Egbert"
"Gamzee Makara, Feferi Peixes, Eridan Ampora"
"Sollux Captor, Jake English, Cronus Ampora"
"Feferi Peixes, Jane Crocker, Aranea Serket"
"Rose Lalonde, Gamzee Makara, Dirk Strider"
"Nepeta Leijon, AR, Lil Hal"
"Sollux Captor, Feferi Peixes, Eridan Ampora"
"Vriska Serket, Eridan Ampora, Other"
""
"Nepeta Leijon, Feferi Peixes, Equius Zahhak"
"Equius Zahhak, WV (sigh... ""The Mayor""), Jane Crocker"
"Vriska Serket, Davesprite, Nepeta Leijon"
"Eridan Ampora, Jane Crocker, Jake English"
"Sollux Captor, Feferi Peixes, Eridan Ampora"
"Gamzee Makara, Jake English, Feferi Peixes"
""
"Gamzee Makara, CD, HB"
""
"Aranea Serket, Feferi Peixes, Nepeta Leijon"
"Eridan Ampora, The Condesce, Jake English"
"Jade Harley, Jake English, Damara Megido"
"Gamzee Makara, Sollux Captor, Feferi Peixes"
"Gamzee Makara, Meenah Peixes, Eridan Ampora"
"Tavros Nitram, Gamzee Makara, Jane Crocker"
""
"Lil Hal, Davesprite, Jane Crocker"
"Equius Zahhak, Eridan Ampora, Nepeta Leijon"
""
""
"Eridan Ampora, Equius Zahhak, Nepeta Leijon"
"Feferi Peixes, Gamzee Makara, Equius Zahhak"
"Meulin Leijon, Kurloz Makara, Jasprose"
""
"Nepeta Leijon, Tavros Nitram, Feferi Peixes"
"Equius Zahhak, Nepeta Leijon, Gamzee Makara"
"Vriska Serket, Gamzee Makara, Calliope"
""
""
"Eridan Ampora, Gamzee Makara, Tavros Nitram"
"Terezi Pyrope, Jane Crocker, Jake English"
"Jake English, Davesprite, Davepeta"
"Vriska Serket, Dave Strider, Davesprite"
""
""
"Feferi Peixes, Jane Crocker, Tavros Nitram"
"Jade Harley, Nepeta Leijon, Jane Crocker"
"Equius Zahhak, Nepeta Leijon, Caliborn"
"Jane Crocker, Dirk Strider, Jake English"
"Rose Lalonde, Sollux Captor, Feferi Peixes"
"Nepeta Leijon, Jane Crocker, Caliborn"
"Vriska Serket, Gamzee Makara, John Egbert"
"Jane Crocker, Dad Egbert, Equius Zahhak"
"Vriska Serket, Lord English, Meenah Peixes"
"Equius Zahhak, Nepeta Leijon, Tavros Nitram"
"Eridan Ampora, WV (sigh... ""The Mayor""), Dirk Strider"
