Which 3 characters had the worst arc?
"Dad Egbert, Doc Scratch, Aranea Serket"
"Jade Harley, Nepeta Leijon, Vriska Serket"
"Vriska Serket, Gamzee Makara, Lil Hal"
"Aranea Serket, Eridan Ampora, Gamzee Makara"
""
""
"Equius Zahhak, Nepeta Leijon, Karkat Vantas"
""
""
"Gamzee Makara, Eridan Ampora, Vriska Serket"
"Gamzee Makara, Damara Megido, Horuss Zahhak"
"John Egbert, mee, Karkat Vantas"
"Gamzee Makara, Rufioh Nitram, Equius Zahhak"
"Aradia Megido, Gamzee Makara, Equius Zahhak"
""
"Equius Zahhak, Sollux Captor, Jake English"
"Nepeta Leijon, Equius Zahhak, Eridan Ampora"
"Jade Harley, Jane Crocker, Calliope"
"Gamzee Makara, Meenah Peixes, WV (sigh... ""The Mayor"")"
"Aranea Serket, Calliope, Jane Crocker"
""
""
"Jade Harley, Bro Strider, Becquerel"
"Nepeta Leijon, Eridan Ampora, Bro Strider"
"Gamzee Makara, Terezi Pyrope, Vriska Serket"
"Nepeta Leijon, Eridan Ampora, Calliope"
"Feferi Peixes, Nepeta Leijon, Equius Zahhak"
""
"Nepeta Leijon, Feferi Peixes, Eridan Ampora"
"Jade Harley, Karkat Vantas, Vriska Serket"
"Jake English, Davesprite, Gamzee Makara"
"Gamzee Makara, Calliope, Jade Harley"
"Horuss Zahhak, Cronus Ampora, Kankri Vantas"
"Equius Zahhak, Nepeta Leijon, Eridan Ampora"
"Dirk Strider, Jake English, Roxy Lalonde"
"Vriska Serket, Jade Harley, Jane Crocker"
"Rose Lalonde, Jasprose, Davesprite"
"Jane Crocker, Jake English, Aranea Serket"
""
"Doc Scratch, Lord English, Caliborn"
"Eridan Ampora, Gamzee Makara, Aranea Serket"
""
"Feferi Peixes, Jake English, Bro Strider"
"Jane Crocker, Eridan Ampora, Vriska Serket"
"Caliborn, Eridan Ampora, Gamzee Makara"
"Davesprite, Jake English, Lord English"
"Karkat Vantas, Sollux Captor, Mituna Captor"
"Gamzee Makara, Damara Megido, Terezi Pyrope"
"I haven't gottem to the end of the comic and its down rn, Lil Hal, Grandpa Harley"
"Vriska Serket, Jake English, Sollux Captor"
"Vriska Serket, Nepeta Leijon, Equius Zahhak"
"Jane Crocker, Calliope, Kankri Vantas"
""
""
""
"Jade Harley, Nepeta Leijon, Feferi Peixes"
"Feferi Peixes, Equius Zahhak, Kanaya Maryam"
"Vriska Serket, Gamzee Makara, Jake English"
""
"Lord English, Lil Hal, ARquius"
""
"Jade Harley, WK, Kurloz Makara"
""
"Gamzee Makara, Lil Hal, Cronus Ampora"
"Sollux Captor, Feferi Peixes, Tavros Nitram"
"Dave Strider, Rose Lalonde, John Egbert"
"Vriska Serket, Jake English, Jade Harley"
"AR, Nannasprite, Becquerel"
"Jane Crocker, Feferi Peixes, Latula Pyrope"
"Vriska Serket, Jane Crocker, Dirk Strider"
"Eridan Ampora, Aradia Megido, Terezi Pyrope"
"Tavros Nitram, Jack Noir (B1), Sollux Captor"
"Gamzee Makara, Meenah Peixes, Damara Megido"
"Gamzee Makara, Jake English, Jane Crocker"
"Vriska Serket, Calliope, Davepeta"
"Jake English, Jane Crocker, Davesprite"
"Karkat Vantas, Jane Crocker, Jack Noir (B1)"
""
""
"Nepeta Leijon, Equius Zahhak, Cronus Ampora"
""
"Nepeta Leijon, Sollux Captor, Aradia Megido"
""
"Eridan Ampora, Cronus Ampora, Lord English"
"Karkat Vantas, Davesprite, Lil Hal"
"Lil Hal, Lord English, Dirk Strider"
"Eridan Ampora, Equius Zahhak, Jane Crocker"
""
"Eridan Ampora, Nepeta Leijon, Jane Crocker"
""
"Jade Harley, Rose Lalonde, Jane Crocker"
"John Egbert, Jade Harley, Jane Crocker"
""
"Gamzee Makara, Feferi Peixes, Eridan Ampora"
"Jake English, Dirk Strider, Equius Zahhak"
"Vriska Serket, Gamzee Makara, Meenah Peixes"
"Dave Strider, Jade Harley, Karkat Vantas"
"Aradia Megido, Sollux Captor, Feferi Peixes"
"Vriska Serket, Gamzee Makara, Jane Crocker"
"Nepeta Leijon, Feferi Peixes, Gamzee Makara"
"Nepeta Leijon, Feferi Peixes, Karkat Vantas"
"Vriska Serket, Davesprite, Caliborn"
"Eridan Ampora, Doc Scratch, The Condesce"
"Eridan Ampora, Equius Zahhak, Jane Crocker"
"Horuss Zahhak, Mom Lalonde, Rufioh Nitram"
"Aranea Serket, Jane Crocker, Karkat Vantas"
"Gamzee Makara, Kankri Vantas, Jack Noir (B1)"
"Gamzee Makara, Dave Strider, Cronus Ampora"
"Feferi Peixes, Nepeta Leijon, Mituna Captor"
"Vriska Serket, Equius Zahhak, Jake English"
"Jake English, Nepeta Leijon, Feferi Peixes"
"Feferi Peixes, Sollux Captor, Gamzee Makara"
"Terezi Pyrope, Karkat Vantas, Gamzee Makara"
"Sollux Captor, Tavros Nitram, Grandpa Harley"
"Feferi Peixes, Equius Zahhak, Nepeta Leijon"
"Jade Harley, Jane Crocker, John Egbert"
"Equius Zahhak, Gamzee Makara, WV (sigh... ""The Mayor"")"
"Eridan Ampora, Bro Strider, Jake English"
"Equius Zahhak, Nepeta Leijon, Eridan Ampora"
"Dave Strider, Feferi Peixes, Dirk Strider"
"John Egbert, Terezi Pyrope, Roxy Lalonde"
"Gamzee Makara, Eridan Ampora, Tavros Nitram"
"Aradia Megido, Rose Lalonde, Meenah Peixes"
"idk, John Egbert, Dave Strider"
"Gamzee Makara, Jane Crocker, The Handmaid"
"Feferi Peixes, Nepeta Leijon, Jake English"
"Nepeta Leijon, Eridan Ampora, Gamzee Makara"
"Aranea Serket, Gamzee Makara, Nepeta Leijon"
"Jack Noir (B1), Davepeta, Jake English"
""
"Nepeta Leijon, Jade Harley, Feferi Peixes"
"SS, Jack Noir (B1), Dirk Strider"
"Vriska Serket, Gamzee Makara, Dirk Strider"
""
"Meenah Peixes, Aranea Serket, Eridan Ampora"
"Nepeta Leijon, Feferi Peixes, Dad Egbert"
"WV (sigh... ""The Mayor""), Mom Lalonde, Dad Egbert"
"Vriska Serket, Terezi Pyrope, Jade Harley"
"Gamzee Makara, Nepeta Leijon, WV (sigh... ""The Mayor"")"
"Feferi Peixes, Jade Harley, Jane Crocker"
"Feferi Peixes, Aranea Serket, Sollux Captor"
"Feferi Peixes, Nepeta Leijon, Eridan Ampora"
"Gamzee Makara, Jake English, Nepeta Leijon"
""
"Eridan Ampora, Mituna Captor, Nepeta Leijon"
"Vriska Serket, Gamzee Makara, Equius Zahhak"
""
"Feferi Peixes, Tavros Nitram, Gamzee Makara"
"Equius Zahhak, ARquius, Horuss Zahhak"
""
"Vriska Serket, Jade Harley, Rose Lalonde"
"Feferi Peixes, Equius Zahhak, Nepeta Leijon"
""
"Vriska Serket, Karkat Vantas, Jade Harley"
""
"Gamzee Makara, Damara Megido, Rose Lalonde"
"Gamzee Makara, Rose Lalonde, Jade Harley"
"Meenah Peixes, Jake English, Doc Scratch"
"Eridan Ampora, Lord English, Aranea Serket"
"Feferi Peixes, Nepeta Leijon, Equius Zahhak"
"Vriska Serket, Gamzee Makara, Jade Harley"
"Vriska Serket, Kankri Vantas, Horuss Zahhak"
""
"Vriska Serket, Eridan Ampora, Aranea Serket"
"Feferi Peixes, Gamzee Makara, Equius Zahhak"
"Vriska Serket, Gamzee Makara, Jake English"
""
"Gamzee Makara, Jane Crocker, Jake English"
""
"Equius Zahhak, Nepeta Leijon, Eridan Ampora"
""
"Jade Harley, Vriska Serket, Jane Crocker"
"Terezi Pyrope, Gamzee Makara, Karkat Vantas"
"Nepeta Leijon, Equius Zahhak, Eridan Ampora"
"Karkat Vantas, Eridan Ampora, Vriska Serket"
""
""
"Eridan Ampora, Tavros Nitram, Feferi Peixes"
""
"Jade Harley, Mituna Captor, Jake English"
"Vriska Serket, Feferi Peixes, Equius Zahhak"
"Sollux Captor, Rose Lalonde, Kanaya Maryam"
""
"Vriska Serket, Lord English, Eridan Ampora"
"Lil Hal, PM, AR"
""
"Jade Harley, Rose Lalonde, Jane Crocker"
"Jane Crocker, HB, CD"
"Vriska Serket, Jack Noir (B1), Davesprite"
"Jane Crocker, Feferi Peixes, SS"
"Jane Crocker, Jade Harley, Feferi Peixes"
""
""
"Jade Harley, Gamzee Makara, Lord English"
"Gamzee Makara, Sollux Captor, Feferi Peixes"
"Equius Zahhak, Tavros Nitram, Jane Crocker"
"Tavros Nitram, Vriska Serket, Bro Strider"
"Eridan Ampora, Gamzee Makara, SS"
"Eridan Ampora, Tavros Nitram, Roxy Lalonde"
"Nepeta Leijon, Terezi Pyrope, Gamzee Makara"
"Gamzee Makara, Jake English, Jane Crocker"
"Equius Zahhak, Caliborn, Dirk Strider"
"Gamzee Makara, Tavros Nitram, Jade Harley"
"Dad Egbert, Doc Scratch, Jane Crocker"
"Dirk Strider, Jake English, Jane Crocker"
"Damara Megido, Nepeta Leijon, Lil Hal"
"I haven't finished reading, Feferi Peixes, Equius Zahhak"
"Feferi Peixes, Nepeta Leijon, Equius Zahhak"
""
"Cronus Ampora, Rufioh Nitram, Equius Zahhak"
"Nepeta Leijon, Calliope, Meulin Leijon"
""
"Equius Zahhak, Lord English, Caliborn"
""
"SS, Dave Strider, Vriska Serket"
"Horuss Zahhak, Doc Scratch, Jake English"
"Jane Crocker, Eridan Ampora, Jade Harley"
"Nepeta Leijon, Jake English, Vriska Serket"
"Caliborn, idk man .. aslo tavros deserved better, Tavros Nitram"
"Jane Crocker, Jake English, Feferi Peixes"
""
"Dirk Strider, Jake English, Tavros Nitram"
"Terezi Pyrope, Vriska Serket, Aradia Megido"
"Gamzee Makara, Jane Crocker, Nepeta Leijon"
"Feferi Peixes, Eridan Ampora, Equius Zahhak"
"Cronus Ampora, Nepeta Leijon, Eridan Ampora"
""
""
"Feferi Peixes, Sollux Captor, Nepeta Leijon"
"Vriska Serket, Aranea Serket, Davesprite"
"Feferi Peixes, Eridan Ampora, Nepeta Leijon"
"Nepeta Leijon, Tavros Nitram, Meenah Peixes"
"Jade Harley, Gamzee Makara, Nepeta Leijon"
"Jake English, Dirk Strider, Tavros Nitram"
""
"Equius Zahhak, Nepeta Leijon, Eridan Ampora"
""
"Gamzee Makara, Sollux Captor, Feferi Peixes"
""
"Vriska Serket, Calliope, WV (sigh... ""The Mayor"")"
"Nepeta Leijon, Cronus Ampora, Rufioh Nitram"
"Equius Zahhak, Nepeta Leijon, Eridan Ampora"
"Davesprite, Other, Eridan Ampora"
""
"Gamzee Makara, tavros :(, Nepeta Leijon"
"It says ""other"" thats sorta not great to be put into., Horuss Zahhak, Rufioh Nitram"
"Jane Crocker, Jake English, Feferi Peixes"
"Gamzee Makara, Jade Harley, Grandpa Harley"
"Gamzee Makara, Cronus Ampora, Nepeta Leijon"
""
"Feferi Peixes, idk, Damara Megido"
""
"John Egbert, Equius Zahhak, Vriska Serket"
"Jade Harley, Tavros Nitram, Davesprite"
"Feferi Peixes, Aradia Megido, Tavros Nitram"
"Nepeta Leijon, Davepeta, Gamzee Makara"
"Vriska Serket, Jake English, Tavros Nitram"
"Gamzee Makara, Jane Crocker, Equius Zahhak"
"Jade Harley, Meenah Peixes, Jane Crocker"
"Bro Strider, Grandpa Harley, Lord English"
"Jake English, Calliope, Jade Harley"
"Roxy Lalonde, Doc Scratch, Nepeta Leijon"
"Gamzee Makara, Eridan Ampora, Feferi Peixes"
"Tavros Nitram, Feferi Peixes, Nepeta Leijon"
""
"Tavros Nitram, Equius Zahhak, Eridan Ampora"
""
"Jane Crocker, Tavros Nitram, Feferi Peixes"
"Cronus Ampora, Tavros Nitram, Kankri Vantas"
"Lil Hal, Davesprite, Meenah Peixes"
"Feferi Peixes, Eridan Ampora, Equius Zahhak"
"Damara Megido, Equius Zahhak, Sollux Captor"
"WV (sigh... ""The Mayor""), Eridan Ampora, Gamzee Makara"
"Nepeta Leijon, Equius Zahhak, Feferi Peixes"
"Equius Zahhak, Nepeta Leijon, Rose Lalonde"
"Cronus Ampora, ARquius, Caliborn"
"Feferi Peixes, Eridan Ampora, Grandpa Harley"
"Feferi Peixes, Eridan Ampora, They died rather quickly"
""
"Gamzee Makara, Aradia Megido, Jake English"
"Vriska Serket, Jasprose, Feferi Peixes"
"Sollux Captor, Jade Harley, The Handmaid"
""
"Gamzee Makara, Vriska Serket, Feferi Peixes"
"Dave Strider, John Egbert, Eridan Ampora"
""
"Rose Lalonde, Dave Strider, SS"
"Aradia Megido, Gamzee Makara, Tavros Nitram"
""
"Tavros Nitram, Aranea Serket, Gamzee Makara"
"Jane Crocker, Jake English, Nepeta Leijon"
""
""
"Davepeta, Aranea Serket, Gamzee Makara"
"Gamzee Makara, Equius Zahhak, Eridan Ampora"
"Davesprite, Jane Crocker, Jake English"
"Gamzee Makara, Aranea Serket, Dirk Strider"
"Tavros Nitram, Vriska Serket, Davepeta"
"Meenah Peixes, Aranea Serket, Doc Scratch"
"Jade Harley, Jake English, Gamzee Makara"
""
"Eridan Ampora, Jade Harley, Jane Crocker"
"Gamzee Makara, Equius Zahhak, Jake English"
"Jane Crocker, Damara Megido, Feferi Peixes"
"Jane Crocker, Meulin Leijon, AR"
"Eridan Ampora, Dirk Strider, Jane Crocker"
"Gamzee Makara, Equius Zahhak, Damara Megido"
""
"Jade Harley, Jane Crocker, Jake English"
"Gamzee Makara, Equius Zahhak, Eridan Ampora"
"Feferi Peixes, Eridan Ampora, Tavros Nitram"
"Vriska Serket, Meenah Peixes, Eridan Ampora"
""
"Gamzee Makara, Nepeta Leijon, Cronus Ampora"
"Eridan Ampora, Tavros Nitram, Doc Scratch"
"Equius Zahhak, WV (sigh... ""The Mayor""), The Condesce"
"Bro Strider, Jade Harley, Dad Egbert"
"Equius Zahhak, Nepeta Leijon, Eridan Ampora"
"Vriska Serket, Jake English, Terezi Pyrope"
"Karkat Vantas, Gamzee Makara, Eridan Ampora"
""
"Nepeta Leijon, Aradia Megido, Feferi Peixes"
"Jade Harley, Dirk Strider, Jake English"
""
"Davesprite, Rose Lalonde, Jasprose"
"Jake English, Nepeta Leijon, Equius Zahhak"
"Gamzee Makara, Meenah Peixes, Hussie"
"Feferi Peixes, Eridan Ampora, Doc Scratch"
"Vriska Serket, Aranea Serket, ARquius"
""
"Jade Harley, Rose Lalonde, Terezi Pyrope"
""
"Horuss Zahhak, Cronus Ampora, Jane Crocker"
"Feferi Peixes, WV (sigh... ""The Mayor""), Caliborn"
"Calliope, Jake English, Dirk Strider"
"Dad Egbert, Eridan Ampora, Tavros Nitram"
"Vriska Serket, Eridan Ampora, DD"
"WV (sigh... ""The Mayor""), Gamzee Makara, Other"
"Gamzee Makara, Equius Zahhak, Feferi Peixes"
"Caliborn, Kankri Vantas, Other"
""
"Jade Harley, Gamzee Makara, Becquerel"
"Kankri Vantas, Mituna Captor, Meulin Leijon"
"Vriska Serket, Jade Harley, Tavros Nitram"
"Tavros Nitram, Jane Crocker, Jake English"
"Gamzee Makara, Jade Harley, Sollux Captor"
"Tavros Nitram, Kanaya Maryam, Jane Crocker"
"Feferi Peixes, Jake English, Nepeta Leijon"
"Nepeta Leijon, Equius Zahhak, Vriska Serket"
"Karkat Vantas, Terezi Pyrope, Vriska Serket"
"Gamzee Makara, Equius Zahhak, Feferi Peixes"
"Gamzee Makara, Aranea Serket, Feferi Peixes"
"Jade Harley, Gamzee Makara, Eridan Ampora"
""
"Gamzee Makara, Feferi Peixes, Equius Zahhak"
"Gamzee Makara, Doc Scratch, Dirk Strider"
""
""
"Nepeta Leijon, Dirk Strider, Davesprite"
"Eridan Ampora, Equius Zahhak, Jade Harley"
"Sollux Captor, Eridan Ampora, Dad Egbert"
""
"Vriska Serket, Rose Lalonde, Kanaya Maryam"
"Horuss Zahhak, Cronus Ampora, Dad Egbert"
"Equius Zahhak, Nepeta Leijon, Cronus Ampora"
""
""
""
""
""
"Gamzee Makara, Jade Harley, Dirk Strider"
"Tavros Nitram, Jake English, Sollux Captor"
"Equius Zahhak, Bro Strider, Grandpa Harley"
"Meenah Peixes, Eridan Ampora, Jane Crocker"
"Vriska Serket, Jade Harley, Feferi Peixes"
"Gamzee Makara, Aradia Megido, Sollux Captor"
"Dave Strider, Dirk Strider, Bro Strider"
"Gamzee Makara, Feferi Peixes, Lil Hal"
""
"Nepeta Leijon, Davesprite, Karkat Vantas"
"Equius Zahhak, Eridan Ampora, Tavros Nitram"
"Jade Harley, Jake English, Jane Crocker"
"Jade Harley, Jane Crocker, Vriska Serket"
""
"Gamzee Makara, WV (sigh... ""The Mayor""), Vriska Serket"
"Davepeta, Doc Scratch, Nepeta Leijon"
"Karkat Vantas, Rose Lalonde, Tavros Nitram"
"ARquius, Calliope, Davesprite"
"Nepeta Leijon, Equius Zahhak, Feferi Peixes"
"Sollux Captor, Feferi Peixes, Jane Crocker"
"Equius Zahhak, Eridan Ampora, Karkat Vantas"
"John Egbert, Vriska Serket, Sollux Captor"
"John Egbert, Gamzee Makara, Jane Crocker"
"Gamzee Makara, Eridan Ampora, Equius Zahhak"
"Nepeta Leijon, Equius Zahhak, Grandpa Harley"
""
"Jasprose, Horuss Zahhak, Jack Noir (B1)"
"Gamzee Makara, Tavros Nitram, Aranea Serket"
"Aradia Megido, Equius Zahhak, Jane Crocker"
""
""
"Nepeta Leijon, Davepeta, Horuss Zahhak"
"SS, Jack Noir (B1), WV (sigh... ""The Mayor"")"
"Equius Zahhak, Eridan Ampora, Doc Scratch"
"Gamzee Makara, Eridan Ampora, Tavros Nitram"
"Rose Lalonde, Aradia Megido, Kanaya Maryam"
"Vriska Serket, Bro Strider, Terezi Pyrope"
"Nannasprite, Davesprite, John Egbert"
"Vriska Serket, Other, John Egbert"
"Gamzee Makara, Vriska Serket, Eridan Ampora"
"John Egbert, Rose Lalonde, Jade Harley"
"Eridan Ampora, Equius Zahhak, Nepeta Leijon"
"Cronus Ampora, Aranea Serket, Meulin Leijon"
"Gamzee Makara, Vriska Serket, Jake English"
""
"Gamzee Makara, Equius Zahhak, Eridan Ampora"
""
"Equius Zahhak, The Handmaid, Mituna Captor"
"Rose Lalonde, Jade Harley, Jane Crocker"
"Sollux Captor, Mituna Captor, Damara Megido"
"Terezi Pyrope, Jade Harley, Equius Zahhak"
"Jake English, Vriska Serket, Bro Strider"
"Vriska Serket, Feferi Peixes, Horuss Zahhak"
"Nepeta Leijon, Vriska Serket, Aranea Serket"
"Equius Zahhak, Gamzee Makara, Davesprite"
"Gamzee Makara, Karkat Vantas, Eridan Ampora"
""
"Vriska Serket, Nepeta Leijon, Equius Zahhak"
"Vriska Serket, John Egbert, Roxy Lalonde"
"Vriska Serket, Gamzee Makara, Jake English"
"Caliborn, Roxy Lalonde, Rufioh Nitram"
"Rose Lalonde, Gamzee Makara, Bro Strider"
"Jade Harley, Karkat Vantas, Jane Crocker"
"Aradia Megido, Dave Strider, Jack Noir (B1)"
"Jane Crocker, Jade Harley, Nepeta Leijon"
""
"Gamzee Makara, Jade Harley, Nepeta Leijon"
""
"Gamzee Makara, Nepeta Leijon, Jane Crocker"
""
"Gamzee Makara, Jane Crocker, Jasprose"
"Feferi Peixes, Eridan Ampora, Jake English"
"Tavros Nitram, Gamzee Makara, Aranea Serket"
"Vriska Serket, Gamzee Makara, Meenah Peixes"
"Calliope, Jade Harley, Feferi Peixes"
"Jade Harley, Jake English, Dirk Strider"
"Vriska Serket, Jade Harley, Jane Crocker"
"Eridan Ampora, Nepeta Leijon, Aranea Serket"
""
"Jade Harley, Equius Zahhak, The Handmaid"
"DD, CD, HB"
"Vriska Serket, SS, Jane Crocker"
"Bro Strider, Porrim Maryam, Mituna Captor"
"Feferi Peixes, Jasprose, Davepeta"
""
"Gamzee Makara, My answers for all these but my favorite characters and ship are very noncommittal, Meenah Peixes"
"Feferi Peixes, Jake English, Eridan Ampora"
"Eridan Ampora, Gamzee Makara, Davesprite"
""
"Jack Noir (B1), Other, Jade Harley"
""
"Equius Zahhak, Horuss Zahhak, Cronus Ampora"
""
"Jane Crocker, Equius Zahhak, ARquius"
""
"Feferi Peixes, Gamzee Makara, Karkat Vantas"
""
""
"Kurloz Makara, Sollux Captor, Jane Crocker"
""
"Eridan Ampora, Kankri Vantas, Bro Strider"
"Vriska Serket, Gamzee Makara, Equius Zahhak"
"Tavros Nitram, Eridan Ampora, Feferi Peixes"
"Sollux Captor, Eridan Ampora, Equius Zahhak"
"Cronus Ampora, Kankri Vantas, Jake English"
"Lord English, Bro Strider, Horuss Zahhak"
"Gamzee Makara, Aranea Serket, Davepeta"
"Jane Crocker, Jake English, Jade Harley"
""
"Calliope, The Handmaid, Aranea Serket"
""
"Tavros Nitram, Equius Zahhak, Lord English"
"Equius Zahhak, Doc Scratch, Jake English"
"Vriska Serket, Gamzee Makara, Jack Noir (B1)"
"Feferi Peixes, Nepeta Leijon, Eridan Ampora"
"Jade Harley, Feferi Peixes, Jane Crocker"
"Gamzee Makara, Eridan Ampora, Tavros Nitram"
"WV (sigh... ""The Mayor""), Jasprose, ARquius"
"John Egbert, Karkat Vantas, Doc Scratch"
""
""
"Calliope, Caliborn, Lord English"
"Equius Zahhak, Tavros Nitram, Jake English"
"Sollux Captor, Nepeta Leijon, Tavros Nitram"
"Tavros Nitram, Gamzee Makara, Equius Zahhak"
"Dave Strider, Karkat Vantas, Jade Harley"
""
"Tavros Nitram, Bro Strider, Grandpa Harley"
"Vriska Serket, Jack Noir (B1), Jane Crocker"
"Gamzee Makara, Vriska Serket, Equius Zahhak"
"Dirk Strider, John Egbert, Nepeta Leijon"
"Vriska Serket, Gamzee Makara, John Egbert"
"Davepeta, The Handmaid, Writ Keeper"
""
"Nepeta Leijon, AR, The Handmaid"
"Eridan Ampora, Equius Zahhak, Bro Strider"
"Dirk Strider, Jake English, Rose Lalonde"
""
""
"The Handmaid, Jake English, Tavros Nitram"
"Equius Zahhak, Nepeta Leijon, Eridan Ampora"
"Vriska Serket, Gamzee Makara, Bro Strider"
""
"Jane Crocker, Equius Zahhak, Eridan Ampora"
"Gamzee Makara, Nepeta Leijon, Jane Crocker"
"Karkat Vantas, Vriska Serket, John Egbert"
"Nepeta Leijon, Tavros Nitram, Gamzee Makara"
""
"Vriska Serket, Terezi Pyrope, Jane Crocker"
"Rose Lalonde, Jade Harley, Karkat Vantas"
"Cronus Ampora, Dad Egbert, Sollux Captor"
"Aranea Serket, Eridan Ampora, Gamzee Makara"
"Equius Zahhak, Nepeta Leijon, Feferi Peixes"
""
"Sollux Captor, Aradia Megido, Eridan Ampora"
"Jade Harley, Gamzee Makara, Eridan Ampora"
"Nepeta Leijon, Feferi Peixes, Equius Zahhak"
"Nepeta Leijon, Tavros Nitram, Vriska Serket"
""
"Gamzee Makara, Eridan Ampora, Sollux Captor"
"Dave Strider, Equius Zahhak, Roxy Lalonde"
"Lord English, Caliborn, I can't think of it."
"Jasprose, Davepeta, Jake English"
""
"Tavros Nitram, Equius Zahhak, Jake English"
"Gamzee Makara, Doc Scratch, Jack Noir (B1)"
""
"John Egbert, Dave Strider, Gamzee Makara"
"Karkat Vantas, Jane Crocker, Gamzee Makara"
"Tavros Nitram, The Handmaid, Rose Lalonde"
"Jade Harley, Gamzee Makara, Eridan Ampora"
"Gamzee Makara, Eridan Ampora, Feferi Peixes"
"Jane Crocker, Aranea Serket, Jake English"
"Tavros Nitram, Nepeta Leijon, Davesprite"
""
"Mituna Captor, Meulin Leijon, Horuss Zahhak"
"Gamzee Makara, The Handmaid, Jade Harley"
"Jane Crocker, Jake English, Meenah Peixes"
"Calliope, Dirk Strider, ARquius"
"John Egbert, Vriska Serket, Jade Harley"
"Davepeta, Calliope, Jasprose"
"Tavros Nitram, Lord English, Kurloz Makara"
"Vriska Serket, Tavros Nitram, Meenah Peixes"
"Nepeta Leijon, Damara Megido, Feferi Peixes"
"Karkat Vantas, Dave Strider, John Egbert"
""
"Jade Harley, Jane Crocker, Vriska Serket"
"Vriska Serket, Eridan Ampora, Equius Zahhak"
"Bro Strider, Gamzee Makara, Vriska Serket"
"Gamzee Makara, Vriska Serket, Sollux Captor"
""
"Feferi Peixes, Eridan Ampora, Equius Zahhak"
"Tavros Nitram, Jade Harley, Dirk Strider"
"Rose Lalonde, Calliope, The Condesce"
"Vriska Serket, Equius Zahhak, John Egbert"
"Gamzee Makara, Jane Crocker, Jake English"
"Nepeta Leijon, Equius Zahhak, Calliope"
""
"Jane Crocker, Dirk Strider, Jake English"
"Kankri Vantas, Dirk Strider, Doc Scratch"
"Davesprite, Equius Zahhak, WV (sigh... ""The Mayor"")"
""
"Terezi Pyrope, Aranea Serket, Davepeta"
"Jane Crocker, Feferi Peixes, Nepeta Leijon"
"John Egbert, Grandpa Harley, Nannasprite"
""
"Jade Harley, Tavros Nitram, Jake English"
"Eridan Ampora, Feferi Peixes, Vriska Serket"
""
""
""
"Jade Harley, Jane Crocker, Dirk Strider"
"Terezi Pyrope, Vriska Serket, Eridan Ampora"
"Gamzee Makara, Tavros Nitram, Jake English"
"Vriska Serket, Aradia Megido, Karkat Vantas"
"Gamzee Makara, Tavros Nitram, Meenah Peixes"
"John Egbert, Vriska Serket, Jake English"
"SS, HB, WV (sigh... ""The Mayor"")"
""
"Dirk Strider, Jake English, Gamzee Makara"
"Gamzee Makara, Eridan Ampora, Caliborn"
"Eridan Ampora, Vriska Serket, Jane Crocker"
"Aranea Serket, Tavros Nitram, Rufioh Nitram"
"Vriska Serket, Feferi Peixes, Nepeta Leijon"
"Jane Crocker, Jake English, Feferi Peixes"
"Vriska Serket, Equius Zahhak, Dave Strider"
""
"Sollux Captor, Jake English, Jane Crocker"
"Vriska Serket, PM, Caliborn"
"Gamzee Makara, Terezi Pyrope, Jade Harley"
"Gamzee Makara, Jane Crocker, Vriska Serket"
"Rufioh Nitram, Damara Megido, Horuss Zahhak"
"Vriska Serket, Eridan Ampora, Latula Pyrope"
"WV (sigh... ""The Mayor""), Jane Crocker, Caliborn"
"John Egbert, Davesprite, WV (sigh... ""The Mayor"")"
""
"Equius Zahhak, Nepeta Leijon, Jake English"
""
"Feferi Peixes, Terezi Pyrope, Vriska Serket"
"Lord English, Rufioh Nitram, Eridan Ampora"
"Sollux Captor, Feferi Peixes, Nepeta Leijon"
"Jane Crocker, Dirk Strider, Equius Zahhak"
"Gamzee Makara, AR, ARquius"
"Jade Harley, Jake English, Nepeta Leijon"
"Nepeta Leijon, Karkat Vantas, Davesprite"
""
"Jane Crocker, Jake English, Meenah Peixes"
"Grandpa Harley, Jasprose, Cronus Ampora"
""
"Gamzee Makara, Meenah Peixes, N/A"
"Jake English, Feferi Peixes, WV (sigh... ""The Mayor"")"
"Jack Noir (B1), SS, WV (sigh... ""The Mayor"")"
"Gamzee Makara, Kankri Vantas, Cronus Ampora"
"Feferi Peixes, Aranea Serket, Equius Zahhak"
""
"Rose Lalonde, Gamzee Makara, Aradia Megido"
""
"Eridan Ampora, Sollux Captor, Vriska Serket"
""
""
"Nepeta Leijon, Equius Zahhak, Tavros Nitram"
"Jade Harley, Jack Noir (B1), Feferi Peixes"
"Dad Egbert, Dirk Strider, Jane Crocker"
""
""
"John Egbert, Damara Megido, Porrim Maryam"
"ARquius, Jake English, Aranea Serket"
"John Egbert, Dave Strider, Rose Lalonde"
"Tavros Nitram, Nepeta Leijon, Eridan Ampora"
"Equius Zahhak, Lil Hal, Caliborn"
"Vriska Serket, Roxy Lalonde, Feferi Peixes"
"Tavros Nitram, Eridan Ampora, Vriska Serket"
"Jade Harley, Jane Crocker, Vriska Serket"
""
"Feferi Peixes, Bro Strider, Jane Crocker"
"Vriska Serket, Equius Zahhak, Tavros Nitram"
"Jane Crocker, Jake English, Jade Harley"
"Jasprose, Horuss Zahhak, Grandpa Harley"
"Vriska Serket, Gamzee Makara, Doc Scratch"
"Vriska Serket, Eridan Ampora, Davesprite"
""
