Which orientation do you identify the most with?
Bi/Pan
Gay (e.g. MLM/WLW)
Bi/Pan
Gay (e.g. MLM/WLW)
Ace
Bi/Pan
Straight
Ace
Straight
Bi/Pan
Gay (e.g. MLM/WLW)
Ace
Other/it's complicated
Ace
Gay (e.g. MLM/WLW)
Gay (e.g. MLM/WLW)
Gay (e.g. MLM/WLW)
Ace
Straight
Other/it's complicated
Bi/Pan
Straight
Bi/Pan
Ace
Bi/Pan
Bi/Pan
Bi/Pan
Bi/Pan
Gay (e.g. MLM/WLW)
Gay (e.g. MLM/WLW)
Bi/Pan
Bi/Pan
Straight
Gay (e.g. MLM/WLW)
Gay (e.g. MLM/WLW)
Gay (e.g. MLM/WLW)
Bi/Pan
Bi/Pan
Other/it's complicated
Other/it's complicated
Other/it's complicated
Ace
Bi/Pan
Other/it's complicated
Bi/Pan
Straight
Gay (e.g. MLM/WLW)
Gay (e.g. MLM/WLW)
Straight
Ace
Bi/Pan
Bi/Pan
Straight
Gay (e.g. MLM/WLW)
Ace
Bi/Pan
Bi/Pan
Other/it's complicated
Bi/Pan
Gay (e.g. MLM/WLW)
Ace
Bi/Pan
Ace
Bi/Pan
Bi/Pan
Gay (e.g. MLM/WLW)
Ace
Bi/Pan
Bi/Pan
Gay (e.g. MLM/WLW)
Bi/Pan
Other/it's complicated
Bi/Pan
Bi/Pan
Straight
Ace
Gay (e.g. MLM/WLW)
Bi/Pan
Gay (e.g. MLM/WLW)
Bi/Pan
Other/it's complicated
Straight
Gay (e.g. MLM/WLW)
Other/it's complicated
Straight
Ace
Ace
Straight
Bi/Pan
Straight
Bi/Pan
Other/it's complicated
Ace
Gay (e.g. MLM/WLW)
Bi/Pan
Bi/Pan
Bi/Pan
Other/it's complicated
Other/it's complicated
Gay (e.g. MLM/WLW)
Straight
Gay (e.g. MLM/WLW)
Gay (e.g. MLM/WLW)
Bi/Pan
Straight
Other/it's complicated
Straight
Straight
Bi/Pan
Gay (e.g. MLM/WLW)
Ace
Gay (e.g. MLM/WLW)
Ace
Straight
Ace
Bi/Pan
Bi/Pan
Other/it's complicated
Ace
Other/it's complicated
Ace
Gay (e.g. MLM/WLW)
Ace
Bi/Pan
Bi/Pan
Bi/Pan
Ace
Bi/Pan
Gay (e.g. MLM/WLW)
Other/it's complicated
Gay (e.g. MLM/WLW)
Other/it's complicated
Straight
Ace
Bi/Pan
Straight
Other/it's complicated
Bi/Pan
Other/it's complicated
Bi/Pan
Bi/Pan
Gay (e.g. MLM/WLW)
Other/it's complicated
Bi/Pan
Bi/Pan
Bi/Pan
Gay (e.g. MLM/WLW)
Gay (e.g. MLM/WLW)
Bi/Pan
Gay (e.g. MLM/WLW)
Ace
Straight
Bi/Pan
Other/it's complicated
Straight
Gay (e.g. MLM/WLW)
Other/it's complicated
Bi/Pan
Bi/Pan
Ace
Gay (e.g. MLM/WLW)
Gay (e.g. MLM/WLW)
Bi/Pan
Ace
Straight
Bi/Pan
Straight
Other/it's complicated
""
Bi/Pan
Bi/Pan
Gay (e.g. MLM/WLW)
Other/it's complicated
Straight
Bi/Pan
Gay (e.g. MLM/WLW)
Bi/Pan
Bi/Pan
Bi/Pan
Ace
Straight
Straight
Gay (e.g. MLM/WLW)
Other/it's complicated
Gay (e.g. MLM/WLW)
Bi/Pan
Gay (e.g. MLM/WLW)
Straight
Bi/Pan
Bi/Pan
Bi/Pan
Straight
Bi/Pan
Bi/Pan
Gay (e.g. MLM/WLW)
Bi/Pan
Ace
Straight
Bi/Pan
Bi/Pan
Bi/Pan
Bi/Pan
Bi/Pan
Gay (e.g. MLM/WLW)
Other/it's complicated
Straight
Other/it's complicated
Gay (e.g. MLM/WLW)
Bi/Pan
Bi/Pan
Ace
Other/it's complicated
Bi/Pan
Ace
Ace
Bi/Pan
Ace
Bi/Pan
Other/it's complicated
Bi/Pan
Gay (e.g. MLM/WLW)
Ace
Bi/Pan
Gay (e.g. MLM/WLW)
Bi/Pan
Straight
Bi/Pan
Other/it's complicated
Gay (e.g. MLM/WLW)
Bi/Pan
Straight
Bi/Pan
Bi/Pan
Gay (e.g. MLM/WLW)
Bi/Pan
Bi/Pan
Ace
Straight
""
Bi/Pan
Gay (e.g. MLM/WLW)
Bi/Pan
Gay (e.g. MLM/WLW)
Straight
Other/it's complicated
Bi/Pan
Bi/Pan
Gay (e.g. MLM/WLW)
Straight
Straight
Ace
Other/it's complicated
Bi/Pan
Gay (e.g. MLM/WLW)
Gay (e.g. MLM/WLW)
Gay (e.g. MLM/WLW)
Bi/Pan
Bi/Pan
""
Straight
Straight
Other/it's complicated
Straight
Bi/Pan
Gay (e.g. MLM/WLW)
Bi/Pan
Gay (e.g. MLM/WLW)
Other/it's complicated
Ace
Bi/Pan
Straight
Bi/Pan
Gay (e.g. MLM/WLW)
Bi/Pan
Straight
Gay (e.g. MLM/WLW)
Bi/Pan
Other/it's complicated
Ace
Other/it's complicated
Ace
Gay (e.g. MLM/WLW)
Straight
Straight
Bi/Pan
Straight
Gay (e.g. MLM/WLW)
Gay (e.g. MLM/WLW)
Bi/Pan
Bi/Pan
Bi/Pan
Other/it's complicated
Ace
Gay (e.g. MLM/WLW)
Bi/Pan
Gay (e.g. MLM/WLW)
Other/it's complicated
Other/it's complicated
Bi/Pan
Straight
Other/it's complicated
Bi/Pan
Straight
Bi/Pan
Bi/Pan
""
Bi/Pan
Other/it's complicated
Bi/Pan
Gay (e.g. MLM/WLW)
