"How many times have you ""read"" Homestuck?"
""
""
""
""
""
3.0
2.0
2.0
1.0
3.0
2.0
1.0
4.0
16.0
2.0
1.0
""
1.0
""
""
""
1.0
2.0
""
""
2.0
""
""
2.0
3.0
3.0
2.0
1.0
3.0
10.0
1.0
""
2.0
8.0
""
""
2.0
3.0
2.0
3.0
2.0
""
2.0
2.0
""
""
2.0
3.0
10.0
""
1.0
""
2.0
10.0
1.0
4.0
3.0
1.0
1.0
""
2.0
""
3.0
2.0
1.0
3.0
""
1.0
1.0
""
""
""
4.0
10.0
1.0
4.0
""
3.0
3.0
5.0
2.0
2.0
3.0
2.0
3.0
3.0
3.0
2.0
""
2.0
3.0
2.0
3.0
3.0
""
1.0
""
2.0
""
1.0
1.0
1.0
2.0
5.0
2.0
3.0
3.0
1.0
""
2.0
""
""
1.0
4.0
""
4.0
""
6.0
""
""
2.0
1.0
3.0
2.0
1.0
1.0
""
1.0
""
4.0
""
""
5.0
3.0
10.0
1.0
4.0
""
1.0
3.0
""
1.0
""
6.0
3.0
""
1.0
2.0
""
3.0
1.0
""
""
3.0
3.0
2.0
3.0
1.0
3.0
2.0
1.0
""
3.0
3.0
""
2.0
2.5
""
""
""
""
9.0
""
""
""
""
""
1.0
2.0
""
2.0
""
1.0
2.0
5.0
2.0
2.0
1.0
6.0
3.0
1.0
""
""
""
2.0
""
15.0
""
1.0
3.0
""
1.0
5.0
1.0
2.0
1.0
1.0
3.0
1.0
""
3.0
6.0
""
1.0
3.0
""
1.0
""
""
""
""
1.0
""
2.0
""
1.0
""
""
""
2.0
3.0
5.0
5.0
1.0
4.0
2.0
""
1.0
1.0
2.0
""
1.0
""
2.0
3.0
5.0
1.0
3.0
4.0
3.0
1.0
8.0
3.0
""
2.0
""
1.5
4.0
1.0
1.0
""
2.0
4.0
3.0
1.0
1.0
1.0
3.0
9.0
2.0
""
1.0
3.0
""
4.0
""
2.0
4.0
""
""
2.0
1.0
1.0
""
15.0
""
6.0
1.0
3.0
""
4.0
""
3.0
1.0
""
1.0
1.0
""
""
2.0
2.0
1.0
""
""
1.5
""
1.0
2.0
""
6.0
1.0
3.0
2.0
4.0
3.0
4.0
2.0
2.0
""
2.0
1.0
2.0
2.0
""
3.0
4.0
""
1.0
2.0
2.0
""
2.0
1.0
""
2.0
1.0
1.0
2.0
1.0
""
""
2.0
""
""
""
2.0
""
1.0
2.0
1.0
""
4.0
""
2.0
4.0
1.0
3.0
2.0
3.0
1.0
""
2.0
1.0
3.0
""
4.0
1.0
2.0
5.0
2.0
6.0
""
2.0
""
3.0
""
""
2.0
2.0
""
3.0
""
""
""
1.0
""
2.0
2.0
""
1.0
1.0
4.0
""
2.0
2.0
""
""
3.0
3.0
2.0
3.0
1.0
""
""
1.0
""
2.0
3.0
3.0
1.0
3.0
1.0
""
1.0
3.0
1.0
""
4.0
3.0
""
""
2.0
""
2.0
""
4.0
1.0
1.0
3.0
""
2.0
""
4.0
""
3.0
""
""
6.0
""
3.0
""
2.0
""
4.0
1.0
1.0
3.0
3.0
3.0
""
""
""
10.0
1.0
7.0
2.0
""
4.0
""
""
1.0
1.0
2.0
2.0
4.0
3.0
3.0
2.0
""
2.0
""
