Which 3 characters had the best complete arc?
"Kurloz Makara, Meulin Leijon, John Egbert"
""
"Rose Lalonde, Aradia Megido, Vriska Serket"
"Dave Strider, John Egbert, Roxy Lalonde"
"John Egbert, Karkat Vantas, Dave Strider"
"Dave Strider, Aradia Megido, Terezi Pyrope"
"Dirk Strider, Dave Strider, Terezi Pyrope"
"John Egbert, Vriska Serket, Dave Strider"
"Vriska Serket, Terezi Pyrope, Aradia Megido"
"John Egbert, Karkat Vantas, Lord English"
"Jade Harley, Vriska Serket, John Egbert"
"Aradia Megido, Kanaya Maryam, Jade Harley"
"Vriska Serket, Roxy Lalonde, Karkat Vantas"
""
"Rose Lalonde, Terezi Pyrope, Dave Strider"
"Tavros Nitram, WV (sigh... ""The Mayor""), Rose Lalonde"
"Jack Noir (B1), SS, The Handmaid"
"John Egbert, Vriska Serket, Dirk Strider"
"Terezi Pyrope, Dave Strider, Roxy Lalonde"
"Davepeta, Aranea Serket, Caliborn"
"Dave Strider, Terezi Pyrope, Karkat Vantas"
"John Egbert, Caliborn, Aranea Serket"
"Gamzee Makara, Rose Lalonde, Dave Strider"
"Terezi Pyrope, Kanaya Maryam, Dirk Strider"
"Terezi Pyrope, Rose Lalonde, John Egbert"
"John Egbert, Karkat Vantas, Aradia Megido"
"Rose Lalonde, Vriska Serket, Dirk Strider"
"Jack Noir (B1), Calliope, John Egbert"
"Dave Strider, John Egbert, Jade Harley"
"Terezi Pyrope, Dave Strider, Davesprite"
"Jade Harley, Terezi Pyrope, Rose Lalonde"
"John Egbert, Dave Strider, Gamzee Makara"
"Calliope, Caliborn, Lil Hal"
"Aradia Megido, Roxy Lalonde, Sollux Captor"
"Vriska Serket, Jade Harley, Aranea Serket"
"Vriska Serket, Rose Lalonde, Roxy Lalonde"
"Terezi Pyrope, Dave Strider, Vriska Serket"
"Rose Lalonde, Dave Strider, Terezi Pyrope"
"Dave Strider, John Egbert, Aradia Megido"
"John Egbert, Kanaya Maryam, Roxy Lalonde"
"Dave Strider, Karkat Vantas, Aradia Megido"
"John Egbert, Dave Strider, Terezi Pyrope"
"John Egbert, Karkat Vantas, Dave Strider"
"Dave Strider, Roxy Lalonde, Karkat Vantas"
"Gamzee Makara, Terezi Pyrope, Dirk Strider"
"Rose Lalonde, Caliborn, Karkat Vantas"
"Jade Harley, Terezi Pyrope, SS"
"Roxy Lalonde, PM, Aradia Megido"
"Jade Harley, Meenah Peixes, Dad Egbert"
"John Egbert, Karkat Vantas, Meenah Peixes"
"Vriska Serket, Karkat Vantas, Dave Strider"
"Dave Strider, Karkat Vantas, John Egbert"
"Terezi Pyrope, PM, Dave Strider"
""
"Dave Strider, Dirk Strider, Jake English"
"John Egbert, Karkat Vantas, idfk i just thought of two"
"Dave Strider, Davesprite, Dirk Strider"
"Dave Strider, Gamzee Makara, Aradia Megido"
""
"Dave Strider, Kanaya Maryam, Roxy Lalonde"
"Karkat Vantas, Dave Strider, John Egbert"
""
"Rose Lalonde, Kanaya Maryam, John Egbert"
"Terezi Pyrope, Karkat Vantas, Dave Strider"
"Kanaya Maryam, Terezi Pyrope, Karkat Vantas"
"Rose Lalonde, Dave Strider, Vriska Serket"
"John Egbert, Karkat Vantas, Roxy Lalonde"
"Davesprite, Karkat Vantas, Jade Harley"
"Terezi Pyrope, Vriska Serket, Dave Strider"
"Dave Strider, Terezi Pyrope, Sollux Captor"
"Dave Strider, Terezi Pyrope, Vriska Serket"
"Dave Strider, Vriska Serket, Jade Harley"
"Terezi Pyrope, Vriska Serket, Jade Harley"
"John Egbert, Terezi Pyrope, Sollux Captor"
"Dave Strider, John Egbert, Roxy Lalonde"
"Kanaya Maryam, Dave Strider, Jack Noir (B1)"
"Roxy Lalonde, John Egbert, Terezi Pyrope"
"John Egbert, Calliope, Vriska Serket"
"Dave Strider, Terezi Pyrope, PM"
"Gamzee Makara, Vriska Serket, Dave Strider"
"Terezi Pyrope, Aradia Megido, Becquerel"
"Dave Strider, Vriska Serket, Roxy Lalonde"
"Karkat Vantas, Jade Harley, Jake English"
"John Egbert, Roxy Lalonde, Karkat Vantas"
"John Egbert, Kanaya Maryam, Rose Lalonde"
"Dave Strider, Karkat Vantas, Terezi Pyrope"
"Vriska Serket, Rose Lalonde, Dave Strider"
"Vriska Serket, Karkat Vantas, John Egbert"
"Dave Strider, Roxy Lalonde, Aradia Megido"
"John Egbert, Vriska Serket, Dave Strider"
"John Egbert, Jade Harley, Dirk Strider"
"Dave Strider, Dirk Strider, Terezi Pyrope"
"Terezi Pyrope, Aradia Megido, Dave Strider"
"Dave Strider, Terezi Pyrope, Karkat Vantas"
"Roxy Lalonde, Caliborn, John Egbert"
"Dave Strider, Terezi Pyrope, Tavros Nitram"
"Dave Strider, Aradia Megido, Karkat Vantas"
"Jack Noir (B1), Davesprite, WV (sigh... ""The Mayor"")"
"Karkat Vantas, Jade Harley, Rose Lalonde"
"Dave Strider, Rose Lalonde, Dad Egbert"
"Vriska Serket, Dave Strider, Karkat Vantas"
"Aradia Megido, Kurloz Makara, Meulin Leijon"
"John Egbert, Gamzee Makara, Eridan Ampora"
"Dave Strider, Vriska Serket, Gamzee Makara"
"Dave Strider, Aradia Megido, Karkat Vantas"
""
"Vriska Serket, Karkat Vantas, Dave Strider"
"Aradia Megido, PM, SS"
"Vriska Serket, Dave Strider, Tavros Nitram"
"Aradia Megido, Lord English, Calliope"
"Terezi Pyrope, Aradia Megido, Karkat Vantas"
"Aradia Megido, John Egbert, Davepeta"
"Rose Lalonde, Dave Strider, Sollux Captor"
"Caliborn, Davesprite, Doc Scratch"
"Dave Strider, Vriska Serket, Calliope"
"Caliborn, Dave Strider, Calliope"
"Vriska Serket, Dave Strider, Eridan Ampora"
"Terezi Pyrope, Dave Strider, Karkat Vantas"
"Dave Strider, John Egbert, Aradia Megido"
"Davepeta, Dirk Strider, Vriska Serket"
"Roxy Lalonde, John Egbert, Jack Noir (B1)"
"Terezi Pyrope, Kanaya Maryam, Rose Lalonde"
"Terezi Pyrope, Karkat Vantas, Rose Lalonde"
""
"Dave Strider, Karkat Vantas, Davesprite"
