Select your 3 favorite characters!
"John Egbert, Jake English, Jane Crocker"
"Jade Harley, Nepeta Leijon, Dirk Strider"
"Calliope, Davepeta, Tavros Nitram"
"John Egbert, WV (sigh... ""The Mayor""), Nepeta Leijon"
"John Egbert, Vriska Serket, Dad Egbert"
"Gamzee Makara, Roxy Lalonde, Kurloz Makara"
"John Egbert, Dirk Strider, Davepeta"
"Jake English, Vriska Serket, Damara Megido"
""
"Terezi Pyrope, Equius Zahhak, Roxy Lalonde"
"Terezi Pyrope, John Egbert, Rose Lalonde"
"John Egbert, Rose Lalonde, Kanaya Maryam"
"Dirk Strider, Karkat Vantas, Dave Strider"
"John Egbert, Dave Strider, Karkat Vantas"
"Sollux Captor, Dave Strider, Jade Harley"
"John Egbert, Vriska Serket, Kankri Vantas"
"Meulin Leijon, Terezi Pyrope, SS"
"John Egbert, crocker, Dirk Strider"
"Terezi Pyrope, Jade Harley, Mituna Captor"
"Equius Zahhak, Rose Lalonde, Dirk Strider"
"Kanaya Maryam, Dave Strider, Gamzee Makara"
"Dave Strider, Jade Harley, Aradia Megido"
"Kanaya Maryam, Roxy Lalonde, Rose Lalonde"
"John Egbert, Eridan Ampora, Sollux Captor"
"Karkat Vantas, Dave Strider, Kankri Vantas"
"Dave Strider, Karkat Vantas, Terezi Pyrope"
"John Egbert, Terezi Pyrope, Dirk Strider"
"Terezi Pyrope, Vriska Serket, John Egbert"
"Vriska Serket, Terezi Pyrope, Nepeta Leijon"
"Sollux Captor, Eridan Ampora, Karkat Vantas"
"Nepeta Leijon, Terezi Pyrope, Jade Harley"
"John Egbert, Sollux Captor, AR"
"Nepeta Leijon, WV (sigh... ""The Mayor""), Caliborn"
"Sollux Captor, Gamzee Makara, Eridan Ampora"
"Dave Strider, Karkat Vantas, Nepeta Leijon"
"Feferi Peixes, Meenah Peixes, Aradia Megido"
"Vriska Serket, Nepeta Leijon, Porrim Maryam"
"Dave Strider, Davepeta, Mituna Captor"
"Terezi Pyrope, Aradia Megido, Porrim Maryam"
"John Egbert, Lil Hal, Terezi Pyrope"
"Dirk Strider, Caliborn, SS"
"Tavros Nitram, Dave Strider, Rose Lalonde"
"Aradia Megido, Jade Harley, Nepeta Leijon"
"Jade Harley, Aradia Megido, Kanaya Maryam"
"Terezi Pyrope, Kanaya Maryam, John Egbert"
"Nepeta Leijon, Aradia Megido, Mituna Captor"
"Dirk Strider, Gamzee Makara, Karkat Vantas"
"Karkat Vantas, John Egbert, Sollux Captor"
"Rose Lalonde, John Egbert, Karkat Vantas"
"Jade Harley, Nepeta Leijon, John Egbert"
"Gamzee Makara, Aradia Megido, Kanaya Maryam"
"Gamzee Makara, HB, CD"
"Aradia Megido, Roxy Lalonde, Dave Strider"
"Dirk Strider, Terezi Pyrope, Rose Lalonde"
"Rose Lalonde, Jane Crocker, Jake English"
"Jake English, Sollux Captor, Terezi Pyrope"
"Jade Harley, Eridan Ampora, Aradia Megido"
"Dave Strider, Dirk Strider, Davepeta"
"Nepeta Leijon, Jade Harley, Caliborn"
"Dave Strider, Davesprite, Lil Hal"
"Rose Lalonde, SS, Jade Harley"
"Terezi Pyrope, Dave Strider, Jade Harley"
"Roxy Lalonde, Aradia Megido, Aranea Serket"
"Dirk Strider, Rufioh Nitram, Bro Strider"
"Dirk Strider, Dave Strider, Tavros Nitram"
"Dave Strider, Kanaya Maryam, Roxy Lalonde"
"Dave Strider, Karkat Vantas, WV (sigh... ""The Mayor"")"
"Cronus Ampora, Eridan Ampora, Jake English"
