Select your 3 least favorite characters!
""
"Lil Hal, Kankri Vantas, Bro Strider"
"Equius Zahhak, Sollux Captor, Gamzee Makara"
"Gamzee Makara, Cronus Ampora, Bro Strider"
"Jasprose, Davepeta, Clubs"
"Kankri Vantas, Caliborn, Cronus Ampora"
""
"Cronus Ampora, Tavros Nitram, Bro Strider"
"Rufioh Nitram, Horuss Zahhak, Damara Megido"
"Davepeta, Horuss Zahhak, very tough decision between all the dancestors, frankly i mainly picked horuss because he was the last one in the dropdown"
"Caliborn, Eridan Ampora, Cronus Ampora"
"Aradia Megido, Feferi Peixes, Jane Crocker"
"Gamzee Makara, Horuss Zahhak, Cronus Ampora"
"Equius Zahhak, Lord English, Lil Hal"
"Kankri Vantas, Gamzee Makara, Cronus Ampora"
"Vriska Serket, Dirk Strider, Davepeta"
"Jade Harley, Feferi Peixes, Porrim Maryam"
"Eridan Ampora, Vriska Serket, Cronus Ampora"
"Meenah Peixes, Lord English, ARquius"
"Eridan Ampora, Gamzee Makara, Jane Crocker"
"Jake English, Caliborn, Tavros Nitram"
"Tavros Nitram, Jake English, Cronus Ampora"
"Eridan Ampora, Cronus Ampora, Rufioh Nitram"
"Lord English, Cronus Ampora, Grandpa Harley"
"Vriska Serket, Eridan Ampora, Lord English"
"Davesprite, Davepeta, Eridan Ampora"
"Cronus Ampora, Doc Scratch, Rufioh Nitram"
"Damara Megido, Latula Pyrope, Mituna Captor"
"Cronus Ampora, Mituna Captor, Eridan Ampora"
"Eridan Ampora, Rose Lalonde, Nepeta Leijon"
"Gamzee Makara, Tavros Nitram, Jake English"
"Equius Zahhak, Gamzee Makara, Eridan Ampora"
"Equius Zahhak, Cronus Ampora, Horuss Zahhak"
""
"Tavros Nitram, Cronus Ampora, Kurloz Makara"
"Doc Scratch, ARquius, Meenah Peixes"
"Cronus Ampora, Meenah Peixes, Aranea Serket"
"Eridan Ampora, Gamzee Makara, Doc Scratch"
"Feferi Peixes, Doc Scratch, Caliborn"
""
"Lord English, CD, HB"
"Tavros Nitram, Equius Zahhak, Lord English"
"Equius Zahhak, Gamzee Makara, Caliborn"
"Jane Crocker, Kankri Vantas, Mom Lalonde"
"Dirk Strider, Cronus Ampora, Meenah Peixes"
"Damara Megido, Horuss Zahhak, Kurloz Makara"
"Kankri Vantas, The Condesce, Cronus Ampora"
"Gamzee Makara, Tavros Nitram, Kankri Vantas"
"Jade Harley, Nepeta Leijon, Bro Strider"
"Horuss Zahhak, ARquius, Doc Scratch"
"Cronus Ampora, Jane Crocker, Caliborn"
"Equius Zahhak, Jane Crocker, Jake English"
"Cronus Ampora, Kankri Vantas, Jane Crocker"
"Equius Zahhak, Tavros Nitram, Sollux Captor"
"Vriska Serket, Doc Scratch, Roxy Lalonde"
"Sollux Captor, Bro Strider, Caliborn"
"Vriska Serket, Aranea Serket, Mindfang"
"Tavros Nitram, Cronus Ampora, Roxy Lalonde"
"Cronus Ampora, Horuss Zahhak, ARquius"
"Gamzee Makara, Cronus Ampora, Eridan Ampora"
"Tavros Nitram, Equius Zahhak, Eridan Ampora"
"Kankri Vantas, Nannasprite, Vriska Serket"
"Doc Scratch, Cronus Ampora, Kankri Vantas"
""
"Horuss Zahhak, John Egbert, Gamzee Makara"
"Cronus Ampora, Lil Hal, Vriska Serket"
"Vriska Serket, Cronus Ampora, Doc Scratch"
"Cronus Ampora, Doc Scratch, Other"
"Cronus Ampora, Damara Megido, DD"
"Vriska Serket, Caliborn, Meenah Peixes"
"Gamzee Makara, Bro Strider, Caliborn"
"Lil Hal, Bro Strider, Rufioh Nitram"
"Cronus Ampora, Eridan Ampora, Horuss Zahhak"
"Doc Scratch, Meenah Peixes, Mom Lalonde"
"Grandpa Harley, Lil Hal, Equius Zahhak"
"Gamzee Makara, Caliborn, Kankri Vantas"
"Horuss Zahhak, Grandpa Harley, ARquius"
"Eridan Ampora, Kankri Vantas, Jane Crocker"
"Meulin Leijon, Kurloz Makara, Horuss Zahhak"
"Karkat Vantas, Sollux Captor, Doc Scratch"
"Eridan Ampora, Aranea Serket, Kurloz Makara"
"Tavros Nitram, Kankri Vantas, Jasprose"
"Sollux Captor, Equius Zahhak, Jade Harley"
"Jade Harley, Vriska Serket, Equius Zahhak"
"Vriska Serket, Cronus Ampora, Aranea Serket"
"Cronus Ampora, Bro Strider, Kurloz Makara"
"Gamzee Makara, Nepeta Leijon, Caliborn"
"Kankri Vantas, Meulin Leijon, Grandpa Harley"
"Vriska Serket, Bro Strider, Caliborn"
"Tavros Nitram, Rufioh Nitram, Cronus Ampora"
"Feferi Peixes, Calliope, Caliborn"
"Eridan Ampora, Jake English, Cronus Ampora"
"Jade Harley, Becquerel, Doc Scratch"
"Gamzee Makara, Equius Zahhak, Cronus Ampora"
"Cronus Ampora, Kankri Vantas, Damara Megido"
"Eridan Ampora, Cronus Ampora, Gamzee Makara"
"Eridan Ampora, Dirk Strider, Cronus Ampora"
"Mituna Captor, Aranea Serket, Latula Pyrope"
"Cronus Ampora, Gamzee Makara, Jake English"
"Eridan Ampora, Cronus Ampora, Damara Megido"
"Gamzee Makara, Equius Zahhak, Bro Strider"
"Cronus Ampora, Horuss Zahhak, Doc Scratch"
"Equius Zahhak, Cronus Ampora, WV (sigh... ""The Mayor"")"
"Kankri Vantas, Equius Zahhak, Jane Crocker"
"Dave Strider, Doc Scratch, Davesprite"
"John Egbert, Jane Crocker, Aradia Megido"
"Kankri Vantas, Kurloz Makara, Mituna Captor"
"Gamzee Makara, Cronus Ampora, Dave Strider"
"Karkat Vantas, John Egbert, Andrew Hussie"
"Eridan Ampora, Kankri Vantas, Meenah Peixes"
"Sollux Captor, Horuss Zahhak, Eridan Ampora"
"Grandpa Harley, Doc Scratch, Cronus Ampora"
"Eridan Ampora, Lord English, Jack Noir (B1)"
"Sollux Captor, Tavros Nitram, Bro Strider"
"Damara Megido, Davepeta, Kankri Vantas"
"Nannasprite, Eridan Ampora, Feferi Peixes"
"Bro Strider, Grandpa Harley, Doc Scratch"
"Tavros Nitram, Jake English, ARquius"
"John Egbert, ARquius, Jake English"
"Kankri Vantas, Vriska Serket, Calliope"
"Aradia Megido, Aranea Serket, Caliborn"
"Caliborn, Cronus Ampora, Kankri Vantas"
"Horuss Zahhak, Kurloz Makara, HB"
"Mom Lalonde, Lord English, Jasprose"
"Eridan Ampora, Cronus Ampora, Andrew Hussie"
"Cronus Ampora, Horuss Zahhak, Kurloz Makara"
"Gamzee Makara, Caliborn, Equius Zahhak"
"Latula Pyrope, Roxy Lalonde, Jasprose"
"Jane Crocker, AR, Grandpa Harley"
"Eridan Ampora, Doc Scratch, Bro Strider"
"Karkat Vantas, Equius Zahhak, Vriska Serket"
"Tavros Nitram, Lord English, Doc Scratch"
"Tavros Nitram, Bro Strider, WV (sigh... ""The Mayor"")"
"Horuss Zahhak, Cronus Ampora, Red Smuppet"
"Doc Scratch, Cronus Ampora, Bro Strider"
"Gamzee Makara, Jasprose, Davepeta"
"Kankri Vantas, Dirk Strider, Eridan Ampora"
"Equius Zahhak, Horuss Zahhak, Cronus Ampora"
"Equius Zahhak, Damara Megido, Horuss Zahhak"
"Bro Strider, Doc Scratch, Jake English"
"Dave Strider, Eridan Ampora, Dirk Strider"
"Dirk Strider, Bro Strider, Doc Scratch"
"Bro Strider, Cronus Ampora, Horuss Zahhak"
"Feferi Peixes, Calliope, Cronus Ampora"
"Eridan Ampora, Equius Zahhak, Caliborn"
"Eridan Ampora, Doc Scratch, Other"
"Gamzee Makara, John Egbert, Equius Zahhak"
"Lord English, ARquius, Cronus Ampora"
"Gamzee Makara, Vriska Serket, Eridan Ampora"
"Damara Megido, Kankri Vantas, Davesprite"
"Gamzee Makara, Aranea Serket, Rufioh Nitram"
"PM, Horuss Zahhak, Mom Lalonde"
"Mituna Captor, Tavros Nitram, Bro Strider"
""
"Cronus Ampora, Kankri Vantas, The Condesce"
"Equius Zahhak, Horuss Zahhak, Caliborn"
"Cronus Ampora, Jane Crocker, Damara Megido"
"Mituna Captor, Gamzee Makara, Kankri Vantas"
"Feferi Peixes, Jane Crocker, Cronus Ampora"
"Vriska Serket, Eridan Ampora, Equius Zahhak"
"Equius Zahhak, Kankri Vantas, Cronus Ampora"
"Aradia Megido, Dave Strider, Dirk Strider"
"Lord English, Cronus Ampora, Mituna Captor"
"Gamzee Makara, Eridan Ampora, Lil Hal"
"Feferi Peixes, Eridan Ampora, Horuss Zahhak"
"Caliborn, Eridan Ampora, ARquius"
"Vriska Serket, Jack Noir (B1), Davepeta"
"Kankri Vantas, Damara Megido, Grandpa Harley"
"The Condesce, Cronus Ampora, Meenah Peixes"
"Bro Strider, Caliborn, Eridan Ampora"
"Cronus Ampora, Bro Strider, Kurloz Makara"
"Doc Scratch, Lil Hal, Damara Megido"
"Jade Harley, Cronus Ampora, Nannasprite"
"Davepeta, ARquius, Caliborn"
"Aranea Serket, Kankri Vantas, Kurloz Makara"
"Gamzee Makara, Equius Zahhak, Mituna Captor"
"Cronus Ampora, Horuss Zahhak, Doc Scratch"
"Rufioh Nitram, Dave Strider, Horuss Zahhak"
"i literally cant think of any that i dislike, Lil Hal, Doc Scratch"
"Calliope, Cronus Ampora, Rufioh Nitram"
"Jane Crocker, Meenah Peixes, Rufioh Nitram"
"Kurloz Makara, ARquius, Jasprose"
"Tavros Nitram, Rufioh Nitram, Dave Strider"
"Jake English, Lil Hal, ARquius"
"Bro Strider, Dirk Strider, Caliborn"
"Equius Zahhak, Cronus Ampora, Gamzee Makara"
"Tavros Nitram, Feferi Peixes, Jasprose"
"Cronus Ampora, Davepeta, Eridan Ampora"
"Lord English, Kankri Vantas, Horuss Zahhak"
"Porrim Maryam, Rufioh Nitram, Damara Megido"
"Cronus Ampora, Jasprose, Feferi Peixes"
"Doc Scratch, Lord English, Jack Noir (B1)"
"Eridan Ampora, Tavros Nitram, Lil Hal"
"Vriska Serket, Bro Strider, Cronus Ampora"
"Cronus Ampora, Idk i don't really dislike anyone, Bro Strider"
"Cronus Ampora, Gamzee Makara, Kankri Vantas"
"Caliborn, Dirk Strider, Aranea Serket"
"Kankri Vantas, Tavros Nitram, Caliborn"
"Eridan Ampora, Jake English, Cronus Ampora"
"Jade Harley, Eridan Ampora, Equius Zahhak"
"Meenah Peixes, Doc Scratch, Vriska Serket"
"Caliborn, Cronus Ampora, Eridan Ampora"
"Rufioh Nitram, Lord English, Doc Scratch"
"Lil Hal, The Condesce, Kankri Vantas"
""
""
"Eridan Ampora, Cronus Ampora, Horuss Zahhak"
"Eridan Ampora, Lil Hal, Rufioh Nitram"
"Gamzee Makara, Tavros Nitram, Feferi Peixes"
"Kankri Vantas, Cronus Ampora, Gamzee Makara"
"Caliborn, Bro Strider, Gamzee Makara"
"Meenah Peixes, Doc Scratch, Horuss Zahhak"
"Dirk Strider, Bro Strider, Gamzee Makara"
"Equius Zahhak, Eridan Ampora, Cronus Ampora"
"AR, PM, CD"
"Cronus Ampora, Kankri Vantas, Horuss Zahhak"
"Cronus Ampora, Horuss Zahhak, Mituna Captor"
"Cronus Ampora, Horuss Zahhak, Eridan Ampora"
"Vriska Serket, Jake English, Tavros Nitram"
"Davepeta, Jake English, Nepeta Leijon"
"Davesprite, Nannasprite, Jane Crocker"
"Eridan Ampora, Cronus Ampora, Horuss Zahhak"
"Jane Crocker, Cronus Ampora, Gamzee Makara"
"Gamzee Makara, Equius Zahhak, Meenah Peixes"
"Jane Crocker, ARquius, Lil Hal"
"ARquius, John Egbert, Eridan Ampora"
"Eridan Ampora, Cronus Ampora, Gamzee Makara"
"Jasprose, ARquius, Kankri Vantas"
"Equius Zahhak, Kankri Vantas, Damara Megido"
"Becquerel, Kankri Vantas, Kurloz Makara"
"Gamzee Makara, Aranea Serket, Cronus Ampora"
"Bro Strider, Dad Egbert, Lil Hal"
"Rose Lalonde, Jack Noir (B1), WV (sigh... ""The Mayor"")"
"Vriska Serket, Eridan Ampora, AR"
"Vriska Serket, Bro Strider, Aranea Serket"
"Doc Scratch, Jane Crocker, Jake English"
"Gamzee Makara, Kankri Vantas, Lil Hal"
"Caliborn, Latula Pyrope, Horuss Zahhak"
"Calliope, The Condesce, Jasprose"
"Cronus Ampora, Jasprose, Horuss Zahhak"
"Kankri Vantas, Mituna Captor, Cronus Ampora"
"Gamzee Makara, Vriska Serket, Aradia Megido"
"Eridan Ampora, Lil Hal, Vriska Serket"
""
"Gamzee Makara, Eridan Ampora, Cronus Ampora"
""
"Bro Strider, Cronus Ampora, Horuss Zahhak"
"Vriska Serket, Cronus Ampora, Eridan Ampora"
"ARquius, Caliborn, Jane Crocker"
""
"Bro Strider, Vriska Serket, Meenah Peixes"
"Gamzee Makara, Caliborn, Davepeta"
"Kankri Vantas, Cronus Ampora, Horuss Zahhak"
"Eridan Ampora, Doc Scratch, Cronus Ampora"
"Jake English, Cronus Ampora, Vriska Serket"
"Cronus Ampora, Grandpa Harley, Horuss Zahhak"
"Gamzee Makara, Eridan Ampora, Karkat Vantas"
"Lord English, Doc Scratch, Cronus Ampora"
""
"Kankri Vantas, Cronus Ampora, Davepeta"
"Cronus Ampora, Rufioh Nitram, Horuss Zahhak"
""
"Cronus Ampora, Doc Scratch, Bro Strider"
"Gamzee Makara, Jack Noir (B1), Mituna Captor"
"Fefetasprite, HB, Damara Megido"
"Jake English, Gamzee Makara, Eridan Ampora"
"Sollux Captor, Equius Zahhak, Tavros Nitram"
"Gamzee Makara, Tavros Nitram, Cronus Ampora"
"The Condesce, Doc Scratch, Jack Noir (B1)"
"Cronus Ampora, Gamzee Makara, WV (sigh... ""The Mayor"")"
"Vriska Serket, Nannasprite, Calliope"
"Eridan Ampora, Gamzee Makara, Jack Noir (B1)"
"Eridan Ampora, ARquius, Cronus Ampora"
"The Handmaid, Eridan Ampora, Vriska Serket"
""
""
"Gamzee Makara, Lil Hal, Equius Zahhak"
"Eridan Ampora, Lil Hal, Davepeta"
"Eridan Ampora, Caliborn, The Condesce"
"Gamzee Makara, Tavros Nitram, Caliborn"
"Eridan Ampora, Caliborn, The Condesce"
"Jack Noir (B1), Lord English, Kankri Vantas"
"Gamzee Makara, Cronus Ampora, Jake English"
"Vriska Serket, Doc Scratch, Cronus Ampora"
"Eridan Ampora, Jake English, Cronus Ampora"
"Davesprite, Dirk Strider, Jake English"
"Jake English, Jack Noir (B1), Vriska Serket"
"Rufioh Nitram, Horuss Zahhak, Gamzee Makara"
"Dave Strider, Lil Hal, Dirk Strider"
"Kankri Vantas, Mituna Captor, Damara Megido"
"Lil Hal, Rufioh Nitram, Horuss Zahhak"
"Dirk Strider, Tavros Nitram, Kankri Vantas"
"Equius Zahhak, Damara Megido, The Handmaid"
"Caliborn, Calliope, Horuss Zahhak"
"Meenah Peixes, The Condesce, Tavros Nitram"
""
"Eridan Ampora, Grandpa Harley, Cronus Ampora"
"Equius Zahhak, Horuss Zahhak, ARquius"
"Bro Strider, Jake English, Horuss Zahhak"
"Eridan Ampora, Damara Megido, Horuss Zahhak"
"Dirk Strider, Jake English, Lil Hal"
""
"Bro Strider, Doc Scratch, Aranea Serket"
"Cronus Ampora, uhhhhhhhhhhhhhhhhhhhhhhh, Gamzee Makara"
"Vriska Serket, Gamzee Makara, Jake English"
"Aranea Serket, Vriska Serket, Cronus Ampora"
"Calliope, AR, Cronus Ampora"
"Gamzee Makara, Jane Crocker, Jake English"
""
"Lord English, Caliborn, Cronus Ampora"
"DD, HB, CD"
"Vriska Serket, Cronus Ampora, Eridan Ampora"
"Jane Crocker, Horuss Zahhak, Cronus Ampora"
"Eridan Ampora, Vriska Serket, Karkat Vantas"
"Caliborn, Cronus Ampora, Aranea Serket"
"Tavros Nitram, Kankri Vantas, HB"
"Vriska Serket, Vriska again (I'd put her 3 times if I could), Lord English"
"Bro Strider, Mom Lalonde, Kankri Vantas"
"Cronus Ampora, Aranea Serket, The Handmaid"
"Eridan Ampora, Feferi Peixes, Cronus Ampora"
"Dirk Strider, Meenah Peixes, Cronus Ampora"
"Vriska Serket, Cronus Ampora, Caliborn"
"Cronus Ampora, Lord English, Doc Scratch"
"Jack Noir (B1), Caliborn, Jasprose"
"Feferi Peixes, Jane Crocker, WV (sigh... ""The Mayor"")"
"Damara Megido, Cronus Ampora, Vriska Serket"
"Eridan Ampora, Vriska Serket, Damara Megido"
"Vriska Serket, Caliborn, Equius Zahhak"
"Davepeta, Cronus Ampora, Jane Crocker"
"Jane Crocker, Gamzee Makara, Kurloz Makara"
""
"Vriska Serket, Tavros Nitram, Cronus Ampora"
"Eridan Ampora, Doc Scratch, Cronus Ampora"
"Kurloz Makara, Tavros Nitram, Aranea Serket"
"Vriska Serket, Tavros Nitram, Jane Crocker"
"Rose Lalonde, Dirk Strider, Eridan Ampora"
"Bro Strider, Lord English, Kurloz Makara"
"Sollux Captor, Aradia Megido, Dirk Strider"
"andrew hussie, Calliope, Lord English"
"Tavros Nitram, Bro Strider, Lil Hal"
"Cronus Ampora, Bro Strider, Gamzee Makara"
"Horuss Zahhak, Cronus Ampora, Eridan Ampora"
"Gamzee Makara, Vriska Serket, Cronus Ampora"
"Vriska Serket, WV (sigh... ""The Mayor""), Doc Scratch"
"Doc Scratch, Cronus Ampora, The Condesce"
"Eridan Ampora, Vriska Serket, Bro Strider"
"Aranea Serket, Cronus Ampora, Horuss Zahhak"
"Davepeta, Jasprose, Mituna Captor"
"Vriska Serket, Tavros Nitram, Caliborn"
"Vriska Serket, Jake English, Horuss Zahhak"
"Meenah Peixes, Doc Scratch, Jane Crocker"
"Nepeta Leijon, Equius Zahhak, WV (sigh... ""The Mayor"")"
"Bro Strider, Doc Scratch, Mom Lalonde"
""
"Gamzee Makara, Equius Zahhak, Mituna Captor"
""
"Eridan Ampora, Jane Crocker, Latula Pyrope"
"Gamzee Makara, Bro Strider, Caliborn"
"Lord English, Lil Hal, Eridan Ampora"
"Dirk Strider, Meenah Peixes, Davepeta"
"Feferi Peixes, Equius Zahhak, Grandpa Harley"
"Eridan Ampora, Tavros Nitram, Equius Zahhak"
"Vriska Serket, Only Vriska really, it says eridan, its just vriska 3 times, Eridan Ampora"
"Vriska Serket, Equius Zahhak, "
"Cronus Ampora, Dirk Strider, Jake English"
"Lil Hal, Gamzee Makara, Equius Zahhak"
"Doc Scratch, Caliborn, The Condesce"
"Jake English, Feferi Peixes, Vriska Serket"
"Eridan Ampora, Jake English, Kankri Vantas"
"ARquius, Rufioh Nitram, Cronus Ampora"
"Eridan Ampora, Jake English, Equius Zahhak"
"Horuss Zahhak, Cronus Ampora, Aranea Serket"
"Cronus Ampora, ARquius, Gamzee Makara"
"Karkat Vantas, Grandpa Harley, ARquius"
"ARquius, Caliborn, Aranea Serket"
"Eridan Ampora, Cronus Ampora, Horuss Zahhak"
"Bro Strider, Dirk Strider, Cronus Ampora"
"Jake English, Jane Crocker, Kankri Vantas"
"Jane Crocker, Bro Strider, Damara Megido"
"Bro Strider, Grandpa Harley, Doc Scratch"
"Equius Zahhak, Sollux Captor, ARquius"
"Cronus Ampora, Jane Crocker, Kankri Vantas"
"Gamzee Makara, Terezi Pyrope, Eridan Ampora"
"Equius Zahhak, Jane Crocker, Jake English"
"Gamzee Makara, Jake English, Aranea Serket"
"Equius Zahhak, Tavros Nitram, Feferi Peixes"
"Horuss Zahhak, Lil Hal, Mom Lalonde"
"Equius Zahhak, Jake English, Jane Crocker"
"Kankri Vantas, Lord English, Aranea Serket"
"Tavros Nitram, Cronus Ampora, Jake English"
"Karkat Vantas, Cronus Ampora, Bro Strider"
"Doc Scratch, Lord English, i literally am struggling so hard. i like them all i'm deadass"
"Cronus Ampora, Caliborn, Horuss Zahhak"
"Cronus Ampora, Jane Crocker, Rufioh Nitram"
"Terezi Pyrope, Damara Megido, Kanaya Maryam"
"Eridan Ampora, Rufioh Nitram, Cronus Ampora"
"Bro Strider, Jane Crocker, Eridan Ampora"
"Jake English, Sollux Captor, Cronus Ampora"
"Lil Hal, Davepeta, Equius Zahhak"
"Aradia Megido, Jane Crocker, Other"
"Damara Megido, Cronus Ampora, Equius Zahhak"
"Meenah Peixes, Vriska Serket, Lord English"
"Caliborn, ARquius, Gamzee Makara"
"Vriska Serket, Jane Crocker, Eridan Ampora"
"Tavros Nitram, Feferi Peixes, Lord English"
"Obama, Eridan Ampora, Equius Zahhak"
"Gamzee Makara, Grandpa Harley, Jack Noir (B1)"
"Damara Megido, Jane Crocker, Horuss Zahhak"
"Vriska Serket, Equius Zahhak, Dirk Strider"
"Vriska Serket, Equius Zahhak, John Egbert"
"Tavros Nitram, Jake English, Mituna Captor"
"Doc Scratch, Caliborn, Kankri Vantas"
"Bro Strider, Doc Scratch, Cronus Ampora"
"Tavros Nitram, Doc Scratch, Caliborn"
"Gamzee Makara, Grandpa Harley, Nannasprite"
"Vriska Serket, Bro Strider, Dave Strider"
"Vriska Serket, Jane Crocker, Cronus Ampora"
"Eridan Ampora, ARquius, Cronus Ampora"
"Rufioh Nitram, Kurloz Makara, Horuss Zahhak"
""
"Vriska Serket, Bro Strider, Cronus Ampora"
"Gamzee Makara, Sollux Captor, Equius Zahhak"
"Vriska Serket, Caliborn, Doc Scratch"
"Eridan Ampora, Equius Zahhak, Nannasprite"
"Rufioh Nitram, Cronus Ampora, Jake English"
"Gamzee Makara, Jack Noir (B1), Lord English"
"Equius Zahhak, Dirk Strider, ARquius"
""
"Equius Zahhak, ARquius, Cronus Ampora"
"Cronus Ampora, Horuss Zahhak, Grandpa Harley"
"Kankri Vantas, Cronus Ampora, Eridan Ampora"
"Vriska Serket, The Handmaid, ARquius"
"Davepeta, ARquius, Jasprose"
""
"Kurloz Makara, Cronus Ampora, Jane Crocker"
"Tavros Nitram, Jane Crocker, Calliope"
"Equius Zahhak, Kankri Vantas, Jane Crocker"
"Sollux Captor, Aradia Megido, Feferi Peixes"
"Gamzee Makara, Kankri Vantas, Jane Crocker"
"Calliope, Cronus Ampora, June Egbert"
"Kanaya Maryam, Aranea Serket, Kurloz Makara"
"Vriska Serket, Caliborn, Aranea Serket"
"Dave Strider, Dirk Strider, Equius Zahhak"
"Damara Megido, Bro Strider, Eridan Ampora"
"Jade Harley, Lil Hal, Andrew Hussie, every single Alpha Kid and Kankri with his team"
"Gamzee Makara, Horuss Zahhak, Jane Crocker"
"Gamzee Makara, Bro Strider, Caliborn"
"Jake English, Eridan Ampora, Lil Hal"
"Sollux Captor, Equius Zahhak, Lil Hal"
"Equius Zahhak, Eridan Ampora, Vriska Serket"
""
"Damara Megido, Horuss Zahhak, Doc Scratch"
"Cronus Ampora, Jasprose, Doc Scratch"
"Eridan Ampora, Bro Strider, Horuss Zahhak"
"ARquius, Vriska Serket, Porrim Maryam"
"Eridan Ampora, Caliborn, Vriska Serket"
"Gamzee Makara, Eridan Ampora, Kankri Vantas"
"Vriska Serket, Bro Strider, Kankri Vantas"
"Tavros Nitram, Eridan Ampora, Davepeta"
""
"Kankri Vantas, ARquius, Damara Megido"
"Equius Zahhak, Mituna Captor, Damara Megido"
"Cronus Ampora, John Egbert, Rose Lalonde"
"Rufioh Nitram, Bro Strider, Cronus Ampora"
"Vriska Serket, Horuss Zahhak, Rufioh Nitram"
"Eridan Ampora, Equius Zahhak, Doc Scratch"
"Feferi Peixes, Dirk Strider, Meenah Peixes"
"Cronus Ampora, Bro Strider, Nannasprite"
"Rose Lalonde, Vriska Serket, Jane Crocker"
"Bro Strider, Doc Scratch, Cronus Ampora"
"Vriska Serket, Gamzee Makara, Davepeta"
"Rose Lalonde, Tavros Nitram, Karkat Vantas"
"Lord English, ARquius, Damara Megido"
"Tavros Nitram, Jake English, Gamzee Makara"
"Vriska Serket, Gamzee Makara, Eridan Ampora"
"Cronus Ampora, Horuss Zahhak, Kankri Vantas"
"Cronus Ampora, Kurloz Makara, Horuss Zahhak"
"Cronus Ampora, Kurloz Makara, Dirk Strider"
"Cronus Ampora, Bro Strider, Caliborn"
"Cronus Ampora, Doc Scratch, Unsure"
"Eridan Ampora, Caliborn, Doc Scratch"
"Eridan Ampora, Doc Scratch, Kankri Vantas"
"Horuss Zahhak, Cronus Ampora, Other"
"Horuss Zahhak, Caliborn, Kurloz Makara"
"Caliborn, Vriska Serket, Gamzee Makara"
"Vriska Serket, Dad Egbert, Lord English"
"Gamzee Makara, Vriska Serket, Calliope"
"Equius Zahhak, Lil Hal, Tavros Nitram"
"Doc Scratch, Cronus Ampora, Rufioh Nitram"
"Horuss Zahhak, Grandpa Harley, Rufioh Nitram"
""
"Cronus Ampora, Bro Strider, Rufioh Nitram"
"Gamzee Makara, Lil Hal, Doc Scratch"
"Horuss Zahhak, Rufioh Nitram, Bro Strider"
"Gamzee Makara, Bro Strider, Kankri Vantas"
"Gamzee Makara, Jack Noir (B1), Lord English"
"Equius Zahhak, Cronus Ampora, Mituna Captor"
"Cronus Ampora, Damara Megido, Davepeta"
"Jake English, Grandpa Harley, Lil Hal"
"Rufioh Nitram, The Handmaid, Damara Megido"
"Cronus Ampora, Damara Megido, Mituna Captor"
"Gamzee Makara, Cronus Ampora, Bro Strider"
"Eridan Ampora, Mituna Captor, Cronus Ampora"
"Kankri Vantas, Mituna Captor, Latula Pyrope"
"Eridan Ampora, Grandpa Harley, Cronus Ampora"
"Gamzee Makara, Cronus Ampora, Kurloz Makara"
"Damara Megido, Cronus Ampora, Kankri Vantas"
"Jack Noir (B1), PM, Grandpa Harley"
"Vriska Serket, Bro Strider, Kankri Vantas"
"Nepeta Leijon, Caliborn, Eridan Ampora"
"Horuss Zahhak, Damara Megido, Vriska Serket"
"Karkat Vantas, Lord English, Damara Megido"
"Vriska Serket, Jane Crocker, Jake English"
"Mituna Captor, Cronus Ampora, Rufioh Nitram"
"Bro Strider, Caliborn, Eridan Ampora"
""
"Vriska Serket, Horuss Zahhak, Cronus Ampora"
"Doc Scratch, Bro Strider, Lil Hal"
"Horuss Zahhak, Cronus Ampora, Damara Megido"
""
"Doc Scratch, Cronus Ampora, Bro Strider"
"Kankri Vantas, Mituna Captor, Rufioh Nitram"
"Lord English, Kankri Vantas, Eridan Ampora"
"Vriska Serket, Nepeta Leijon, Caliborn"
"Rose Lalonde, Dave Strider, Grandpa Harley"
"Horuss Zahhak, Cronus Ampora, Damara Megido"
"Jade Harley, Jane Crocker, Lord English"
"Cronus Ampora, Kurloz Makara, Kankri Vantas"
"Dirk Strider, Jake English, Tavros Nitram"
"Eridan Ampora, Cronus Ampora, Bro Strider"
"Caliborn, Kankri Vantas, Bro Strider"
"Vriska Serket, Bro Strider, Horuss Zahhak"
"Gamzee Makara, Mom Lalonde, Lord English"
"Rufioh Nitram, Damara Megido, Porrim Maryam"
"Aranea Serket, Meenah Peixes, Davepeta"
"Vriska Serket, Horuss Zahhak, Grandpa Harley"
""
"Equius Zahhak, Jane Crocker, Gamzee Makara"
"Calliope, Jake English, Tavros Nitram"
"Meenah Peixes, Lord English, Caliborn"
"Cronus Ampora, Dirk Strider, Jasprose"
"Kankri Vantas, The Condesce, Lil Hal"
"Cronus Ampora, Lil Hal, Other"
"Lil Hal, Feferi Peixes, Terezi Pyrope"
""
"Vriska Serket, Aranea Serket, Kurloz Makara"
"Cronus Ampora, Bro Strider, Doc Scratch"
"Bro Strider, Doc Scratch, Horuss Zahhak"
"Eridan Ampora, Lil Hal, ARquius"
"John Egbert, Nepeta Leijon, Eridan Ampora"
"Vriska Serket, Jane Crocker, Caliborn"
"Kanaya Maryam, Jane Crocker, Horuss Zahhak"
"Caliborn, Cronus Ampora, Vriska Serket"
"Eridan Ampora, Jane Crocker, The Condesce"
"Gamzee Makara, Lord English, Kankri Vantas"
"Vriska Serket, Davepeta, Aranea Serket"
"Cronus Ampora, Rufioh Nitram, Kurloz Makara"
"Cronus Ampora, Bro Strider, Mituna Captor"
"Equius Zahhak, Eridan Ampora, Lil Hal"
