Select your 3 least favorite characters!
"Cronus Ampora, ARquius, Lil Hal"
"Rufioh Nitram, Davepeta, Cronus Ampora"
"Dirk Strider, Gamzee Makara, Eridan Ampora"
"Vriska Serket, Eridan Ampora, Jack Noir (B1)"
"Jane Crocker, The Handmaid, Horuss Zahhak"
"Vriska Serket, Bro Strider, Cronus Ampora"
"Rufioh Nitram, Doc Scratch, Grandpa Harley"
"Vriska Serket, Jane Crocker, Calliope"
"Davepeta, Damara Megido, Kankri Vantas"
"Lil Hal, Vriska Serket, Jade Harley"
"Vriska Serket, Doc Scratch, Eridan Ampora"
"Kurloz Makara, Mituna Captor, Cronus Ampora"
"Tavros Nitram, Jake English, Gamzee Makara"
"Jake English, Caliborn, Davepeta"
"Feferi Peixes, Vriska Serket, Bro Strider"
""
"Eridan Ampora, Caliborn, The Condesce"
"Sollux Captor, Calliope, Gamzee Makara"
"Gamzee Makara, Caliborn, CD"
"Equius Zahhak, The Handmaid, Sollux Captor"
"Kankri Vantas, Equius Zahhak, Bro Strider"
"Cronus Ampora, Eridan Ampora, Horuss Zahhak"
"Gamzee Makara, Vriska Serket, Meenah Peixes"
"Bro Strider, Rufioh Nitram, Horuss Zahhak"
"Bro Strider, Vriska Serket, Cronus Ampora"
"Latula Pyrope, Jane Crocker, Tavros Nitram"
"Cronus Ampora, Eridan Ampora, Grandpa Harley"
"Jane Crocker, Jake English, Eridan Ampora"
"Aranea Serket, Lord English, Vriska Serket"
""
"Gamzee Makara, Tavros Nitram, Caliborn"
"Cronus Ampora, Feferi Peixes, Mom Lalonde"
"Lil Hal, Jane Crocker, Gamzee Makara"
"Vriska Serket, The Condesce, Aranea Serket"
"Cronus Ampora, Lil Hal, Jane Crocker"
"Eridan Ampora, Equius Zahhak, Cronus Ampora"
"Dave Strider, Calliope, Lord English"
""
"Kanaya Maryam, Meulin Leijon, Bro Strider"
"Vriska Serket, Dirk Strider, The Condesce"
"Doc Scratch, Cronus Ampora, Damara Megido"
"Eridan Ampora, Bro Strider, Cronus Ampora"
"Kankri Vantas, Damara Megido, Davepeta"
"Lord English, Doc Scratch, Kankri Vantas"
"Bro Strider, Meenah Peixes, Jane Crocker"
"Nannasprite, DD, Jake English"
"Bro Strider, Horuss Zahhak, The Condesce"
"Gamzee Makara, Jake English, Jane Crocker"
"Eridan Ampora, Doc Scratch, The Condesce"
"Jade Harley, Lord English, Caliborn"
"Horuss Zahhak, Cronus Ampora, Kankri Vantas"
"Doc Scratch, Kanaya Maryam, Kankri Vantas"
"Gamzee Makara, Equius Zahhak, Vriska Serket"
"Doc Scratch, Eridan Ampora, Caliborn"
"Sollux Captor, Jane Crocker, The Condesce"
"Equius Zahhak, Gamzee Makara, Terezi Pyrope"
"Gamzee Makara, Eridan Ampora, Jane Crocker"
"Karkat Vantas, Kankri Vantas, John Egbert"
"Eridan Ampora, Sollux Captor, Doc Scratch"
"Calliope, Eridan Ampora, Porrim Maryam"
"Feferi Peixes, Sollux Captor, The Handmaid"
"Doc Scratch, Tavros Nitram, Gamzee Makara"
"Gamzee Makara, Caliborn, Cronus Ampora"
"Jane Crocker, Jasprose, ARquius"
"Eridan Ampora, Kankri Vantas, Doc Scratch"
"Tavros Nitram, Karkat Vantas, Jake English"
"Kankri Vantas, Tavros Nitram, Jane Crocker"
"Equius Zahhak, Eridan Ampora, Doc Scratch"
"Vriska Serket, Cronus Ampora, The Condesce"
"Cronus Ampora, Dave Strider, Davepeta"
"Doc Scratch, Jake English, Grandpa Harley"
"Jane Crocker, Aranea Serket, Jake English"
"Eridan Ampora, Jasprose, Mom Lalonde"
"Cronus Ampora, Gamzee Makara, Vriska Serket"
"Vriska Serket, Horuss Zahhak, The Condesce"
"Lil Hal, Jasprose, ARquius"
"Karkat Vantas, Tavros Nitram, Gamzee Makara"
"Doc Scratch, Lord English, Jake English"
"Caliborn, The Condesce, Lord English"
"Eridan Ampora, Latula Pyrope, Damara Megido"
"Caliborn, Vriska Serket, Gamzee Makara"
"Gamzee Makara, Doc Scratch, Lil Hal"
"John Egbert, Jane Crocker, Horuss Zahhak"
"Vriska Serket, Lil Hal, Gamzee Makara"
""
"Eridan Ampora, SS, The Condesce"
"Jasprose, Arquiusprite, Horuss Zahhak"
"Caliborn, Cronus Ampora, Eridan Ampora"
"Horuss Zahhak, Cronus Ampora, Latula Pyrope"
"Gamzee Makara, ARquius, Caliborn"
"Lord English, Jake English, Dad Egbert"
"Equius Zahhak, Cronus Ampora, AR"
"Vriska Serket, Feferi Peixes, Equius Zahhak"
"Caliborn, Mituna Captor, Damara Megido"
"Lil Hal, Caliborn, Vriska Serket"
"Damara Megido, Feferi Peixes, Kurloz Makara"
"Caliborn, Doc Scratch, Tavros Nitram"
"Caliborn, Aradia Megido, Doc Scratch"
"Bro Strider, Meenah Peixes, Caliborn"
"Vriska Serket, Lord English, The Condesce"
"Davepeta, Jane Crocker, Jake English"
"Doc Scratch, ARquius, Equius Zahhak"
"Gamzee Makara, Davepeta, Caliborn"
"Cronus Ampora, Aranea Serket, Other"
"Cronus Ampora, Eridan Ampora, Jake English"
"Equius Zahhak, Eridan Ampora, Jane Crocker"
"ARquius, Equius Zahhak, Cronus Ampora"
"Vriska Serket, Jane Crocker, Meenah Peixes"
"Cronus Ampora, Horuss Zahhak, Jane Crocker"
"Bro Strider, Doc Scratch, Davepeta"
