Class
Maid
""
Knight
Witch
""
Heir
Seer
Knight
Mage
Seer
Prince
Bard
Sylph
Knight
Knight
Bard
Maid
Page
Rogue
Sylph
Mage
Knight
Seer
Heir
Page
Sylph
Knight
Witch
Seer
""
Mage
Bard
Seer
""
Page
""
Heir
Page
Page
Sylph
Page
Rogue
Rogue
Heir
Page
""
Knight
""
Mage
Knight
Page
Heir
Page
Sylph
Mage
Seer
""
Maid
Knight
""
Prince
Rogue
Witch
""
""
Witch
Sylph
Rogue
Knight
""
Mage
Sylph
Knight
Rogue
Heir
""
Mage
Seer
Knight
Mage
Heir
Knight
Knight
Mage
Mage
Muse
Maid
Heir
Page
""
""
Mage
Page
Prince
Seer
Mage
Heir
Mage
Mage
Bard
Prince
Prince
Heir
""
Page
Mage
Muse
Sylph
Mage
Witch
Seer
Sylph
Knight
Page
Bard
Mage
Mage
Witch
Bard
Witch
Sylph
Mage
""
Rogue
Sylph
Sylph
Mage
Muse
Sylph
Mage
Knight
""
""
Witch
Heir
Page
Page
Prince
Seer
Heir
Knight
Seer
Heir
Mage
""
Witch
Knight
Heir
Thief
Witch
Sylph
""
Prince
Page
Knight
Heir
Page
Mage
Page
Bard
Mage
Mage
""
Knight
Page
Witch
Sylph
Knight
Thief
""
Heir
Witch
Sylph
Thief
Knight
Mage
Prince
Page
""
Page
Knight
Witch
Sylph
""
Mage
Mage
Bard
Witch
Page
Lord
Rogue
Witch
Sylph
Bard
Mage
Heir
Thief
Prince
Maid
Page
Bard
Page
Sylph
Page
Knight
Bard
Mage
Bard
Sylph
Rogue
Mage
Sylph
Sylph
""
Rogue
Sylph
Thief
Sylph
Mage
Witch
Page
""
Knight
""
Muse
""
Witch
Knight
Seer
Rogue
Prince
Mage
Prince
Page
Rogue
Witch
Heir
Heir
Bard
Mage
Knight
Thief
Mage
Seer
Thief
Knight
Page
Thief
Knight
Heir
Muse
Mage
Knight
Page
Knight
Bard
Bard
""
Seer
Page
Rogue
Sylph
Witch
""
""
Page
Knight
Sylph
Maid
Seer
Sylph
Mage
