Aspect
Hope
Rage
Breath
Blood
Void
Void
Heart
Rage
Time
Hope
""
""
Heart
Heart
Time
Life
Mind
Space
Void
Rage
Space
Time
Time
Life
Light
Time
Breath
Heart
Hope
Life
Space
Heart
Void
Space
Rage
Heart
Doom
Heart
Space
Mind
Time
Heart
Doom
Heart
Void
Heart
Heart
""
Light
Light
Light
Time
Void
Rage
Hope
Blood
""
Heart
Light
Breath
Void
Void
Breath
""
Heart
Mind
Void
Heart
Heart
Space
Blood
Void
Space
Mind
Heart
Blood
Hope
Breath
Doom
Rage
Light
Life
Heart
Light
Space
Time
Time
Light
Doom
Void
Void
Hope
Doom
Light
Void
Breath
Space
""
Breath
Time
Space
""
Space
Breath
Light
Mind
""
Breath
Light
Rage
Heart
Blood
Rage
Void
Space
Mind
Light
""
Time
Space
Mind
Light
Light
Space
Space
Time
Breath
Light
Light
Mind
Light
Mind
Breath
Breath
Void
""
Light
Time
Heart
Breath
Breath
Rage
Time
Space
Time
Light
Space
Time
Space
""
Light
""
Space
Heart
Life
Void
Blood
Breath
Blood
Heart
Breath
Void
Light
Void
Doom
Space
Hope
""
""
Space
Hope
Rage
""
Heart
Heart
Rage
Mind
Mind
Life
Hope
Heart
Life
""
Heart
Rage
""
Heart
Life
Space
Space
""
""
""
Space
Doom
""
Light
Hope
Breath
""
Time
""
Life
""
Doom
Mind
Mind
Breath
Mind
""
Void
Hope
Void
Breath
Life
Time
Light
Light
Doom
Heart
Life
Space
Time
Time
Space
Breath
Light
Void
Light
Void
Hope
Void
Mind
Heart
Void
Mind
Void
Blood
Heart
Space
Void
""
""
Void
Blood
Light
Void
Light
Hope
Mind
Breath
Heart
Void
Blood
Life
Time
Hope
Breath
Breath
Void
Life
Light
Time
Blood
Space
Breath
Blood
Space
Space
Void
Hope
Void
Heart
Hope
Void
Rage
Light
Time
Breath
Void
""
Breath
Heart
Time
Light
Void
Heart
Void
Breath
Light
Doom
Breath
Mind
Space
Space
Hope
Light
Heart
Breath
""
Blood
Space
Light
Doom
Hope
Blood
Breath
Heart
Doom
Heart
""
Light
Doom
""
Breath
Heart
Mind
Space
Space
Heart
Space
Life
Space
""
Mind
Heart
Heart
""
Time
Rage
Life
Hope
Blood
Time
Mind
Life
Light
""
Heart
Mind
Mind
Heart
Void
Space
Light
Time
Time
Light
""
""
Hope
Space
Heart
Heart
Void
Time
Rage
Void
Hope
Void
Light
Heart
Heart
Heart
Light
Void
Breath
Hope
Heart
Life
Light
Time
Life
Light
Heart
Blood
Space
Hope
Blood
""
Void
Heart
Void
Life
Time
Void
Void
Space
Time
""
Space
Breath
Life
Space
Heart
Light
""
Heart
Hope
Heart
Space
""
Void
""
""
Time
Mind
Heart
""
Time
Hope
Time
Hope
Time
Rage
Void
Heart
Time
Breath
Life
""
Heart
Space
Breath
Breath
""
Life
Heart
Mind
Heart
Space
Life
Life
Breath
Heart
Time
""
Light
Heart
Space
Doom
Mind
Heart
Space
Space
Breath
Breath
Space
Life
Hope
Time
""
Light
Mind
Void
""
Time
Mind
Void
Rage
""
Space
Rage
Time
Mind
Void
Breath
Doom
Mind
Rage
Light
Heart
Space
Space
Doom
Void
Space
Light
Light
Time
Light
Blood
Time
Hope
Breath
Void
Heart
Breath
Light
Hope
Breath
Heart
Hope
Mind
Heart
""
Space
Void
Heart
Space
Life
Doom
Hope
Mind
Doom
Life
Space
Void
Space
""
Life
Blood
""
Heart
Life
Rage
Blood
Space
Space
Breath
Blood
Light
Void
Mind
Space
Doom
Space
Light
Time
Heart
Space
Doom
Heart
Heart
""
Space
""
Rage
Blood
""
Blood
Void
Breath
Time
Time
Time
Blood
Mind
Space
""
Heart
Space
Time
""
Heart
Space
Doom
Breath
Light
Mind
Time
Space
""
Light
Life
Space
Heart
Doom
Void
Space
Light
Hope
Space
Breath
Hope
""
Doom
Time
Hope
""
Doom
Time
Heart
Time
Breath
Heart
Life
Blood
Time
Heart
Space
Light
Light
Hope
Hope
Hope
Blood
Blood
Heart
""
Space
Space
Hope
Space
Breath
Blood
""
Light
Blood
Hope
Breath
Space
Light
Doom
Blood
Space
Doom
Hope
Rage
Light
Rage
""
Life
Breath
Doom
Light
Space
Void
""
Hope
Heart
Hope
Mind
Void
""
Heart
Blood
Void
Space
Time
Blood
""
Breath
Time
Space
Void
Space
Space
Space
Void
Doom
Void
Breath
Mind
Heart
Blood
Breath
Void
Breath
Heart
Light
Light
Heart
Hope
Space
Light
Light
Time
Doom
Heart
Space
Mind
Heart
Time
Breath
Space
Mind
""
Space
Time
Breath
Hope
Rage
Void
Space
Space
Space
Heart
Blood
Time
Rage
Blood
Doom
Rage
Space
Light
Doom
Void
Breath
""
Breath
Hope
Breath
""
Light
Void
Light
Light
Void
Light
Breath
Life
Time
Light
Void
Heart
Time
Heart
Void
Doom
Space
Breath
Light
""
Doom
Heart
Light
Heart
Heart
Hope
""
Rage
Light
Void
Heart
Time
Void
Time
Breath
""
Light
""
Space
Void
Heart
""
Mind
Life
Blood
Light
Space
Light
Heart
""
Blood
Heart
Life
Mind
Mind
Blood
Space
Rage
Time
Light
Mind
Light
Hope
Life
Life
Doom
Light
Space
Rage
Heart
Heart
""
Void
Heart
Heart
Hope
Space
""
Life
Rage
""
Breath
Heart
Light
Life
Space
Void
Light
Light
Space
""
Space
""
Breath
