Which of these Homestuck franchiselets have you perused? [Hiveswap Act 1]
Finished
Didn't start
Didn't start
Never heard of
Finished
Didn't start
Didn't start
Finished
""
Finished
Didn't start
""
Finished
Finished
Finished
Finished
Finished
Finished
Finished
Didn't start
Started
Didn't start
Finished
Finished
Finished
Finished
Started
Finished
Finished
Finished
Finished
Finished
Didn't start
Finished
Finished
Finished
Didn't start
Finished
Didn't start
Didn't start
Finished
Didn't start
Finished
Started
""
Didn't start
Finished
Dropped
Didn't start
Finished
Finished
Didn't start
Didn't start
Started
Finished
Didn't start
Finished
Finished
Finished
Finished
Didn't start
Finished
""
Finished
Finished
Didn't start
Finished
Finished
Didn't start
Started
Finished
Didn't start
Finished
Started
Finished
Dropped
Started
Didn't start
Didn't start
Didn't start
Didn't start
Finished
Finished
Finished
Finished
Finished
Finished
Finished
Didn't start
Finished
Finished
Didn't start
Dropped
Didn't start
Didn't start
Didn't start
Didn't start
Finished
Dropped
Didn't start
Started
Finished
Didn't start
Didn't start
Finished
Dropped
Started
Finished
Didn't start
Finished
Didn't start
Finished
Started
Finished
Didn't start
Never heard of
Finished
Finished
Didn't start
Finished
Finished
Didn't start
Didn't start
Finished
Didn't start
Didn't start
Didn't start
Didn't start
Finished
Didn't start
Didn't start
Started
Finished
Finished
Finished
Didn't start
Started
Didn't start
Finished
Started
Finished
Didn't start
Finished
Started
Didn't start
Didn't start
Finished
Finished
Dropped
Finished
Finished
Finished
Finished
Finished
Finished
Finished
Finished
Finished
Dropped
Started
Finished
Dropped
Finished
""
Finished
Didn't start
Finished
Didn't start
Didn't start
Finished
Started
Finished
Didn't start
Started
Didn't start
Finished
Didn't start
Finished
Didn't start
Finished
Didn't start
Never heard of
Didn't start
Dropped
Didn't start
Finished
Didn't start
Finished
Didn't start
Finished
Didn't start
Didn't start
Didn't start
Finished
Didn't start
Didn't start
Started
Finished
Finished
Started
Finished
""
Didn't start
Finished
Finished
""
Didn't start
Never heard of
Didn't start
Finished
Didn't start
Finished
Started
Didn't start
Finished
Dropped
Finished
Finished
Finished
Finished
Didn't start
Didn't start
Didn't start
Finished
Didn't start
Finished
Didn't start
Didn't start
Finished
Didn't start
Didn't start
Didn't start
Didn't start
Didn't start
Didn't start
Started
Finished
Finished
Finished
Dropped
Didn't start
Finished
Finished
Finished
Didn't start
Finished
Started
Finished
Didn't start
Didn't start
Finished
Finished
Didn't start
Finished
Finished
Finished
Finished
Started
Didn't start
Finished
Finished
Didn't start
Finished
Finished
Didn't start
Didn't start
Finished
Finished
Never heard of
Didn't start
Finished
Finished
Started
Finished
Finished
Didn't start
Didn't start
Finished
Didn't start
""
Finished
Finished
Finished
Didn't start
Didn't start
Didn't start
Didn't start
Finished
Didn't start
Finished
""
Dropped
Didn't start
Didn't start
Didn't start
Didn't start
Didn't start
""
Didn't start
Finished
Started
Didn't start
Started
Finished
Didn't start
Didn't start
""
Finished
Finished
Started
Finished
Finished
Dropped
Didn't start
Finished
Finished
Didn't start
Finished
Finished
Finished
Didn't start
Didn't start
Finished
Finished
Finished
Finished
Finished
Didn't start
Finished
Didn't start
Didn't start
Didn't start
Never heard of
""
Didn't start
Didn't start
Started
Didn't start
Didn't start
""
Finished
Didn't start
Finished
Never heard of
Finished
Didn't start
Finished
Didn't start
""
Finished
Finished
Finished
Finished
Didn't start
Didn't start
Didn't start
Didn't start
Finished
Didn't start
Finished
Dropped
Didn't start
Didn't start
Didn't start
Finished
Started
Didn't start
Finished
Didn't start
Didn't start
Finished
Finished
""
Didn't start
Finished
Finished
Finished
Didn't start
Finished
Didn't start
Didn't start
Finished
Finished
Didn't start
Started
Finished
Didn't start
Didn't start
Finished
Finished
Never heard of
""
Didn't start
Finished
""
Finished
Finished
Finished
Finished
Finished
Finished
Finished
Dropped
Finished
Finished
Dropped
Dropped
Didn't start
Finished
Finished
Dropped
Didn't start
