Are you participating or have you ever participated in one of /r/homestuck's group rereads?
""
No
No
No
No
No
No
""
""
Yes
"A group reread, but not /r/homestuck's"
No
""
""
""
No
No
No
No
No
""
""
No
""
No
No
No
No
""
""
No
""
No
No
""
""
""
""
No
""
""
No
No
No
"A group reread, but not /r/homestuck's"
Yes
""
No
No
No
""
"A group reread, but not /r/homestuck's"
""
No
""
""
""
""
No
""
""
No
"A group reread, but not /r/homestuck's"
No
""
""
""
No
Yes
No
No
""
No
"A group reread, but not /r/homestuck's"
"A group reread, but not /r/homestuck's"
""
""
""
""
No
No
""
No
"A group reread, but not /r/homestuck's"
""
"A group reread, but not /r/homestuck's"
"A group reread, but not /r/homestuck's"
""
No
""
No
""
No
""
No
""
No
Yes
""
No
""
""
""
No
No
""
No
No
""
""
No
""
""
""
No
""
"A group reread, but not /r/homestuck's"
"A group reread, but not /r/homestuck's"
""
""
No
"A group reread, but not /r/homestuck's"
No
No
""
""
No
""
""
""
""
"A group reread, but not /r/homestuck's"
""
No
No
""
""
No
""
No
""
""
""
""
""
""
"A group reread, but not /r/homestuck's"
No
No
"A group reread, but not /r/homestuck's"
""
No
""
""
""
""
""
""
""
"A group reread, but not /r/homestuck's"
""
""
No
No
""
No
No
""
No
"A group reread, but not /r/homestuck's"
""
""
""
""
""
""
""
No
""
No
No
No
""
""
No
""
No
"A group reread, but not /r/homestuck's"
""
No
""
""
""
""
""
No
""
""
""
""
""
""
No
""
No
No
No
""
No
""
Yes
""
""
""
Yes
""
No
""
No
""
""
""
""
No
""
No
""
No
No
No
""
No
"A group reread, but not /r/homestuck's"
""
No
No
""
No
""
""
No
""
No
""
""
""
""
No
No
""
No
No
""
""
""
""
""
""
""
""
No
"A group reread, but not /r/homestuck's"
""
""
""
"A group reread, but not /r/homestuck's"
""
""
""
""
""
"A group reread, but not /r/homestuck's"
Yes
""
""
""
No
""
No
No
""
""
""
""
""
""
No
""
""
Yes
""
No
No
Yes
""
""
""
"A group reread, but not /r/homestuck's"
No
""
""
""
""
No
No
No
""
""
""
""
""
"A group reread, but not /r/homestuck's"
No
No
"A group reread, but not /r/homestuck's"
""
No
No
""
No
""
""
"A group reread, but not /r/homestuck's"
""
No
No
""
"A group reread, but not /r/homestuck's"
No
Yes
No
""
No
""
""
Yes
No
No
No
""
No
"A group reread, but not /r/homestuck's"
""
No
""
""
""
""
No
"A group reread, but not /r/homestuck's"
No
No
No
"A group reread, but not /r/homestuck's"
No
"A group reread, but not /r/homestuck's"
No
"A group reread, but not /r/homestuck's"
""
No
No
""
""
""
""
No
No
""
""
""
""
No
""
No
""
No
No
""
No
""
""
No
No
""
""
""
""
""
No
Yes
""
""
""
""
""
""
""
No
""
""
No
No
""
""
""
""
""
""
""
""
""
No
""
""
No
""
""
""
""
""
No
""
""
No
No
