Economic scale (1 Left to 5 Right)
""
2.0
""
1.0
3.0
2.0
1.0
1.0
3.0
3.0
1.0
1.0
""
4.0
1.0
1.0
2.0
2.0
2.0
1.0
1.0
1.0
""
1.0
""
""
""
1.0
2.0
4.0
3.0
2.0
2.0
1.0
3.0
2.0
3.0
2.0
2.0
2.0
2.0
""
""
2.0
1.0
1.0
""
5.0
""
1.0
3.0
1.0
5.0
1.0
""
""
3.0
1.0
1.0
5.0
1.0
1.0
2.0
""
1.0
""
""
2.0
2.0
1.0
3.0
""
2.0
1.0
1.0
2.0
1.0
2.0
""
""
1.0
4.0
3.0
2.0
1.0
2.0
1.0
""
3.0
""
1.0
4.0
1.0
""
1.0
3.0
""
""
3.0
5.0
1.0
5.0
1.0
1.0
""
""
""
1.0
""
1.0
2.0
2.0
3.0
2.0
""
""
1.0
3.0
""
2.0
3.0
""
1.0
2.0
1.0
2.0
1.0
""
""
2.0
3.0
2.0
1.0
""
1.0
1.0
1.0
""
""
1.0
1.0
1.0
""
2.0
3.0
5.0
1.0
2.0
3.0
3.0
3.0
""
2.0
1.0
""
2.0
3.0
""
2.0
4.0
1.0
2.0
4.0
""
2.0
1.0
""
1.0
1.0
2.0
1.0
1.0
3.0
1.0
""
1.0
2.0
1.0
3.0
2.0
2.0
""
""
1.0
1.0
3.0
2.0
1.0
2.0
""
""
2.0
1.0
3.0
3.0
1.0
2.0
1.0
5.0
""
1.0
""
""
2.0
4.0
1.0
1.0
4.0
1.0
3.0
1.0
1.0
2.0
""
""
1.0
""
2.0
2.0
1.0
3.0
1.0
2.0
2.0
2.0
""
""
""
2.0
2.0
2.0
1.0
2.0
""
1.0
""
""
5.0
""
""
1.0
1.0
1.0
1.0
""
1.0
4.0
2.0
""
2.0
3.0
1.0
2.0
1.0
1.0
1.0
2.0
1.0
2.0
2.0
1.0
2.0
1.0
1.0
""
2.0
3.0
1.0
1.0
1.0
2.0
""
1.0
1.0
1.0
1.0
1.0
4.0
""
""
2.0
4.0
1.0
2.0
2.0
2.0
2.0
1.0
2.0
3.0
5.0
""
3.0
2.0
""
1.0
""
""
1.0
2.0
""
""
1.0
2.0
4.0
""
1.0
1.0
1.0
""
2.0
""
1.0
5.0
4.0
2.0
3.0
2.0
2.0
1.0
3.0
1.0
2.0
1.0
""
""
""
1.0
1.0
1.0
""
1.0
""
2.0
""
2.0
""
5.0
""
4.0
""
""
""
2.0
1.0
2.0
1.0
3.0
1.0
1.0
2.0
2.0
2.0
""
1.0
3.0
1.0
4.0
2.0
""
1.0
""
1.0
""
2.0
1.0
2.0
""
1.0
2.0
""
1.0
1.0
3.0
1.0
""
1.0
2.0
5.0
1.0
1.0
""
""
2.0
""
5.0
2.0
2.0
2.0
2.0
""
1.0
4.0
1.0
1.0
""
3.0
1.0
""
""
""
3.0
""
2.0
1.0
1.0
1.0
1.0
1.0
""
1.0
2.0
1.0
2.0
2.0
""
1.0
3.0
1.0
2.0
3.0
2.0
1.0
3.0
""
1.0
2.0
1.0
2.0
1.0
2.0
1.0
2.0
2.0
""
1.0
1.0
2.0
3.0
1.0
""
2.0
1.0
2.0
2.0
""
1.0
2.0
1.0
2.0
2.0
3.0
1.0
""
5.0
1.0
1.0
""
""
""
4.0
1.0
3.0
""
2.0
2.0
""
2.0
2.0
""
4.0
1.0
""
""
3.0
1.0
1.0
3.0
2.0
2.0
4.0
""
1.0
2.0
""
4.0
1.0
1.0
1.0
""
""
2.0
3.0
4.0
""
3.0
""
""
1.0
""
2.0
""
1.0
1.0
1.0
5.0
""
4.0
2.0
""
2.0
2.0
3.0
2.0
""
1.0
1.0
2.0
1.0
3.0
3.0
1.0
1.0
1.0
""
2.0
1.0
""
2.0
""
4.0
2.0
1.0
""
1.0
2.0
""
1.0
""
3.0
2.0
""
1.0
2.0
1.0
""
1.0
4.0
1.0
""
""
5.0
2.0
""
1.0
3.0
1.0
2.0
1.0
5.0
3.0
3.0
2.0
1.0
""
""
1.0
""
1.0
""
2.0
2.0
1.0
1.0
2.0
""
4.0
3.0
1.0
2.0
1.0
3.0
2.0
1.0
1.0
""
2.0
5.0
5.0
2.0
1.0
""
1.0
1.0
5.0
1.0
1.0
1.0
""
2.0
1.0
1.0
1.0
1.0
2.0
2.0
2.0
1.0
""
""
""
1.0
1.0
1.0
1.0
1.0
""
3.0
""
""
1.0
1.0
2.0
""
1.0
1.0
1.0
1.0
1.0
1.0
1.0
4.0
1.0
2.0
1.0
1.0
3.0
1.0
""
2.0
""
""
1.0
""
""
1.0
""
""
2.0
2.0
4.0
1.0
""
""
2.0
1.0
1.0
""
1.0
1.0
1.0
4.0
""
""
""
1.0
2.0
3.0
1.0
1.0
1.0
2.0
2.0
1.0
4.0
2.0
""
3.0
1.0
1.0
2.0
""
1.0
1.0
4.0
""
""
1.0
""
