value,count,percentage
"Gamzee Makara, Eridan Ampora, Jane Crocker",5,0.1
"Eridan Ampora, Gamzee Makara, Equius Zahhak",5,0.1
"Vriska Serket, Caliborn, Aranea Serket",5,0.1
"Cronus Ampora, Rufioh Nitram, Doc Scratch",5,0.1
"Damara Megido, Mituna Captor, Cronus Ampora",5,0.1
"Jane Crocker, Jake English, Calliope",5,0.1
"Bro Strider, Doc Scratch, Caliborn",5,0.1
"Vriska Serket, Aranea Serket, Cronus Ampora",5,0.1
"Gamzee Makara, Doc Scratch, Cronus Ampora",5,0.1
"Cronus Ampora, Eridan Ampora, Caliborn",5,0.1
"Vriska Serket, Gamzee Makara, Caliborn",5,0.1
"Bro Strider, Cronus Ampora, Meenah Peixes",5,0.1
"Equius Zahhak, Horuss Zahhak, Cronus Ampora",5,0.1
"Gamzee Makara, Kankri Vantas, Cronus Ampora",5,0.1
"Equius Zahhak, Eridan Ampora, Caliborn",5,0.1
"Eridan Ampora, Cronus Ampora, Equius Zahhak",5,0.1
"Equius Zahhak, Jane Crocker, Jake English",5,0.1
"Caliborn, Doc Scratch, Lord English",5,0.1
"Cronus Ampora, Kankri Vantas, Damara Megido",5,0.1
Other,6035,82.5
