value,count,percentage
"Eridan Ampora, Equius Zahhak, Tavros Nitram",5,0.1
"Vriska Serket, Jake English, Jane Crocker",5,0.1
"Vriska Serket, Gamzee Makara, Jade Harley",5,0.1
"Vriska Serket, Eridan Ampora, Gamzee Makara",5,0.1
"Gamzee Makara, Jade Harley, Jane Crocker",5,0.1
"Vriska Serket, Gamzee Makara, Davesprite",5,0.1
"Tavros Nitram, Equius Zahhak, Jane Crocker",5,0.1
"Gamzee Makara, Vriska Serket, Jade Harley",5,0.1
"Eridan Ampora, Equius Zahhak, Vriska Serket",5,0.1
"Jade Harley, Rose Lalonde, Jane Crocker",5,0.1
"Gamzee Makara, Tavros Nitram, Eridan Ampora",5,0.1
"Jane Crocker, Jade Harley, Gamzee Makara",5,0.1
"Vriska Serket, Eridan Ampora, Tavros Nitram",5,0.1
"Jane Crocker, Jake English, Aranea Serket",5,0.1
"Vriska Serket, Equius Zahhak, Nepeta Leijon",5,0.1
"Jade Harley, Jake English, Gamzee Makara",5,0.1
"Gamzee Makara, Sollux Captor, Eridan Ampora",5,0.1
"Vriska Serket, Terezi Pyrope, Gamzee Makara",5,0.1
"Gamzee Makara, Jane Crocker, Meenah Peixes",5,0.1
"Feferi Peixes, Sollux Captor, Nepeta Leijon",5,0.1
"Eridan Ampora, Feferi Peixes, Tavros Nitram",5,0.1
"Gamzee Makara, Nepeta Leijon, Jane Crocker",5,0.1
"Vriska Serket, Jane Crocker, Gamzee Makara",5,0.1
"Nepeta Leijon, Tavros Nitram, Equius Zahhak",5,0.1
"Feferi Peixes, Jane Crocker, Jake English",5,0.1
"Vriska Serket, Eridan Ampora, Jake English",5,0.1
"Feferi Peixes, Nepeta Leijon, Tavros Nitram",5,0.1
"Gamzee Makara, Feferi Peixes, Jane Crocker",5,0.1
"Eridan Ampora, Jane Crocker, Jake English",5,0.1
"Gamzee Makara, Feferi Peixes, Tavros Nitram",5,0.1
Other,4939,67.5
