value,count,percentage
The Unofficial Homestuck Collection,2754,37.6
Homestuck.com,1614,22.1
,1097,15.0
MSPaintAdventures.com,881,12.0
Let's Read Homestuck (Voxus),491,6.7
Unofficial Homestuck Collection online beta,111,1.5
Twitch/other YouTube readthrough,104,1.4
One of the Homestuck Translations,103,1.4
"Mirror on MSPFA (""Literally Just Homestuck"")",57,0.8
Another downloadable version (like readmspa),13,0.2
Other,93,1.3
