value,count,percentage
18.0,515,7.0
,493,6.7
17.0,490,6.7
16.0,479,6.5
19.0,475,6.5
21.0,453,6.2
20.0,437,6.0
22.0,425,5.8
15.0,419,5.7
23.0,398,5.4
24.0,381,5.2
25.0,378,5.2
14.0,305,4.2
26.0,294,4.0
27.0,229,3.1
28.0,211,2.9
13.0,196,2.7
29.0,165,2.3
30.0,134,1.8
31.0,86,1.2
32.0,64,0.9
33.0,34,0.5
34.0,30,0.4
35.0,30,0.4
36.0,26,0.4
37.0,25,0.3
101.0,21,0.3
12.0,21,0.3
11.0,10,0.1
38.0,10,0.1
40.0,9,0.1
39.0,8,0.1
5.0,7,0.1
42.0,7,0.1
45.0,5,0.1
Other,48,0.7
