value,count,percentage
,3574,48.8
10.0,782,10.7
8.0,725,9.9
7.0,721,9.9
6.0,531,7.3
9.0,394,5.4
5.0,370,5.1
4.0,112,1.5
3.0,53,0.7
1.0,31,0.4
2.0,25,0.3
