value,count,percentage
"No, I'm still a student or grad student",3415,46.7
I'm an employee,2181,29.8
"No, I can't work",560,7.7
"Not currently, but I've finished my education",462,6.3
I'm self-employed ,287,3.9
"No (other reasons, like homemaker/retired)",255,3.5
,107,1.5
"No, I'm just really rich",51,0.7
