value,count,percentage
"I'm a human, what the fuck is this?",1273,17.4
Olive,569,7.8
Jade,545,7.4
Teal,528,7.2
Gold,497,6.8
,472,6.4
Blue,449,6.1
Purple,444,6.1
Violet,440,6.0
Fuchsia,423,5.8
Rust,406,5.5
Lime,391,5.3
Bronze,363,5.0
Indigo,362,4.9
Mutant,156,2.1
