value,count,percentage
,2703,36.9
5.0,683,9.3
1.0,665,9.1
4.0,578,7.9
3.0,560,7.7
6.0,535,7.3
2.0,433,5.9
7.0,421,5.8
8.0,314,4.3
10.0,259,3.5
9.0,167,2.3
