value,count,percentage
"John Egbert, Kanaya Maryam, Roxy Lalonde",5,0.1
"Jade Harley, Rose Lalonde, Kanaya Maryam",5,0.1
"Nepeta Leijon, Jade Harley, Davepeta",5,0.1
"Dave Strider, Jade Harley, Nepeta Leijon",5,0.1
"Jade Harley, Nepeta Leijon, Kanaya Maryam",5,0.1
"Rose Lalonde, Vriska Serket, Terezi Pyrope",5,0.1
"Jade Harley, Aradia Megido, Kanaya Maryam",5,0.1
"Terezi Pyrope, Jade Harley, Roxy Lalonde",5,0.1
"Jade Harley, Terezi Pyrope, Kanaya Maryam",5,0.1
"John Egbert, Terezi Pyrope, Nepeta Leijon",5,0.1
"John Egbert, Rose Lalonde, Vriska Serket",5,0.1
"John Egbert, Vriska Serket, Terezi Pyrope",5,0.1
"Dave Strider, Sollux Captor, Terezi Pyrope",5,0.1
"Dave Strider, Terezi Pyrope, Roxy Lalonde",5,0.1
"Vriska Serket, Dave Strider, Terezi Pyrope",5,0.1
"Karkat Vantas, Eridan Ampora, Dave Strider",5,0.1
"Rose Lalonde, Terezi Pyrope, Dirk Strider",5,0.1
"Terezi Pyrope, Karkat Vantas, Kanaya Maryam",5,0.1
"Karkat Vantas, Dave Strider, Rose Lalonde",5,0.1
"Jade Harley, Roxy Lalonde, Vriska Serket",5,0.1
"Nepeta Leijon, Roxy Lalonde, Davepeta",5,0.1
"Nepeta Leijon, Karkat Vantas, Dave Strider",5,0.1
"Dave Strider, Terezi Pyrope, Vriska Serket",5,0.1
"Dave Strider, Gamzee Makara, Karkat Vantas",5,0.1
"John Egbert, Nepeta Leijon, Roxy Lalonde",5,0.1
"Vriska Serket, Kanaya Maryam, Rose Lalonde",5,0.1
"Vriska Serket, Roxy Lalonde, Karkat Vantas",5,0.1
"Jade Harley, Nepeta Leijon, Davepeta",5,0.1
"Vriska Serket, Terezi Pyrope, John Egbert",5,0.1
"Vriska Serket, John Egbert, Dave Strider",5,0.1
"Sollux Captor, Eridan Ampora, Karkat Vantas",5,0.1
"Rose Lalonde, Kanaya Maryam, Karkat Vantas",5,0.1
"Vriska Serket, John Egbert, Terezi Pyrope",5,0.1
"Terezi Pyrope, Roxy Lalonde, Vriska Serket",5,0.1
"Jade Harley, John Egbert, Terezi Pyrope",5,0.1
"Rose Lalonde, Kanaya Maryam, Jade Harley",5,0.1
"Dave Strider, Rose Lalonde, Terezi Pyrope",5,0.1
"Jade Harley, Kanaya Maryam, Rose Lalonde",5,0.1
"John Egbert, Karkat Vantas, Caliborn",5,0.1
"Terezi Pyrope, Dave Strider, Aradia Megido",5,0.1
"Terezi Pyrope, Dave Strider, Rose Lalonde",5,0.1
"Terezi Pyrope, Jade Harley, Karkat Vantas",5,0.1
"John Egbert, Karkat Vantas, WV (sigh... ""The Mayor"")",5,0.1
"Dave Strider, Jade Harley, Vriska Serket",5,0.1
"Vriska Serket, John Egbert, Karkat Vantas",5,0.1
"Vriska Serket, Terezi Pyrope, Dave Strider",5,0.1
"Vriska Serket, Dirk Strider, Karkat Vantas",5,0.1
"Dave Strider, Karkat Vantas, Sollux Captor",5,0.1
"Dave Strider, Bro Strider, Dirk Strider",5,0.1
"John Egbert, Terezi Pyrope, Roxy Lalonde",5,0.1
"Jade Harley, Terezi Pyrope, WV (sigh... ""The Mayor"")",5,0.1
"Kanaya Maryam, Roxy Lalonde, Terezi Pyrope",5,0.1
"Dave Strider, Dirk Strider, John Egbert",5,0.1
"Eridan Ampora, Dave Strider, Karkat Vantas",5,0.1
Other,6149,84.0
