value,count,percentage
Mage,847,11.6
Knight,838,11.5
,741,10.1
Page,737,10.1
Sylph,647,8.8
Heir,561,7.7
Rogue,504,6.9
Witch,471,6.4
Maid,426,5.8
Seer,421,5.8
Prince,410,5.6
Bard,261,3.6
Thief,251,3.4
Muse,131,1.8
Lord,72,1.0
