value,count,percentage
8.0,1881,25.7
10.0,1751,23.9
7.0,1319,18.0
9.0,1300,17.8
6.0,423,5.8
,383,5.2
5.0,168,2.3
4.0,37,0.5
3.0,29,0.4
1.0,17,0.2
2.0,10,0.1
